Web Series,Positive,Negative,Neutral,Analysis,Status
The Karate Kid Part II,30,3,13,Go and Watch,Positive
The Karate Kid Part III,10,0,27,You Decide,Neutral
The Life of David Gale,17,13,57,You Decide,Neutral
The Long Riders,43,20,37,Go and Watch,Positive
The Queen,50,27,23,Go and Watch,Positive
The Strangers,40,33,27,Go and Watch,Positive
The Sum of All Fears,23,73,3,Do not Watch,Negative
The Tourist,40,20,40,Go and Watch,Positive
Underworld,30,30,40,You Decide,Neutral
Underworld: Awakening,13,10,27,You Decide,Neutral
Underworld: Rise of the Lycans,10,13,13,Do not Watch,Negative
Voiceless,40,30,30,Go and Watch,Positive
What Dreams May Come,70,30,0,Go and Watch,Positive
Why Do Fools Fall in Love,73,17,10,Go and Watch,Positive
Working Title,33,10,57,You Decide,Neutral
Young Royals,20,13,67,You Decide,Neutral
America: The Motion Picture,27,17,17,Go and Watch,Positive
Deranged,33,33,33,Go and Watch,Positive
Droppin' Cash: Los Angeles,0,0,0,Go and Watch,Positive
Legend of Exorcism,20,13,67,You Decide,Neutral
Lying and Stealing,13,83,3,Do not Watch,Negative
Mommy Issues,7,33,60,Go and Watch,Positive
Prime Time,30,27,43,You Decide,Neutral
Somos.,3,47,50,You Decide,Neutral
Sophie: A Murder in West Cork,0,7,0,Do not Watch,Negative
The Daily Life of the Immortal King,77,17,7,Go and Watch,Positive
StarBeam,30,13,57,You Decide,Neutral
A Way Back Home,40,27,33,Go and Watch,Positive
Killing Them Softly,7,90,3,Do not Watch,Negative
The Seven Deadly Sins,20,70,10,Do not Watch,Negative
Wanted,33,30,37,You Decide,Neutral
Into the Wind,43,30,27,Go and Watch,Positive
Wonder Boy,17,43,40,Do not Watch,Negative
Here Comes the Rain,20,13,67,You Decide,Neutral
The Ice Road,53,17,30,Go and Watch,Positive
Ray,10,13,77,You Decide,Neutral
Sex/Life,40,33,27,Go and Watch,Positive
Godzilla Singular Point,40,23,37,Go and Watch,Positive
Jiva!,7,0,93,You Decide,Neutral
Sisters on Track,33,23,43,You Decide,Neutral
The Naked Director,17,27,57,You Decide,Neutral
The Seventh Day,40,13,47,You Decide,Neutral
Good on Paper,67,23,10,Go and Watch,Positive
Murder by the Coast,7,23,0,Go and Watch,Positive
The House of Flowers: The Movie,0,0,10,You Decide,Neutral
The Parisian Agency: Exclusive Properties,23,0,0,Go and Watch,Positive
Too Hot to Handle,37,17,47,You Decide,Neutral
Broken,20,63,17,Do not Watch,Negative
O Vendedor de Sonhos,0,13,23,You Decide,Neutral
Osuofia in London,40,17,37,Go and Watch,Positive
Osuofia in London II,0,0,0,Go and Watch,Positive
This Is Pop,53,27,20,Go and Watch,Positive
#Selfie,20,7,73,You Decide,Neutral
#Selfie 69,0,0,0,Go and Watch,Positive
Love Is a Story,67,20,13,Go and Watch,Positive
The Mole,30,33,37,You Decide,Neutral
"Nevertheless,",67,13,20,Go and Watch,Positive
Bangkok Love Stories: Innocence,0,3,0,Do not Watch,Negative
Black Lightning,33,0,67,You Decide,Neutral
Call My Agent!,43,27,30,Go and Watch,Positive
Champions,83,7,10,Go and Watch,Positive
Charité at War,3,10,0,Go and Watch,Positive
Cleo & Cuquin,13,17,47,You Decide,Neutral
Deadwind,17,13,70,You Decide,Neutral
Gameboys Level-Up Edition,0,0,3,You Decide,Neutral
Glee,80,3,17,Go and Watch,Positive
Hap and Leonard,40,20,40,Go and Watch,Positive
Locked Up,30,43,27,Do not Watch,Negative
Mobile Suit Gundam II: Soldiers of Sorrow,0,0,3,You Decide,Neutral
Mobile Suit Gundam III: Encounters in Space,3,0,10,Go and Watch,Positive
Mobile Suit Gundam: Char's Counterattack,13,3,43,You Decide,Neutral
No Time for Shame,23,70,7,Do not Watch,Negative
Pose,27,13,60,You Decide,Neutral
REA(L)OVE,3,3,10,Go and Watch,Positive
Riverdale,47,13,40,Go and Watch,Positive
Schitt's Creek,27,17,57,You Decide,Neutral
The Assassination of Gianni Versace,20,73,7,Do not Watch,Negative
The Judgement,40,40,20,Go and Watch,Positive
The Last Dance,37,23,40,You Decide,Neutral
They've Gotta Have Us,33,23,27,Go and Watch,Positive
Why Are You Like This,50,40,10,Go and Watch,Positive
A Family,60,30,10,Go and Watch,Positive
Elite,27,17,57,You Decide,Neutral
Fatherhood,33,23,43,You Decide,Neutral
Hospital Playlist,27,17,57,You Decide,Neutral
Jagame Thandhiram,10,7,53,Do not Watch,Negative
Kambili: The Whole 30 Yards,3,0,7,You Decide,Neutral
Mobile Suit Gundam I,57,23,20,Go and Watch,Positive
Rurouni Kenshin: The Final,13,7,27,Do not Watch,Negative
So Not Worth It,43,40,17,Go and Watch,Positive
The Rational Life,47,43,10,Go and Watch,Positive
Ali & Ratu Ratu Queens,7,3,83,You Decide,Neutral
Aziza,3,3,93,You Decide,Neutral
Besieged Bread,7,3,13,Go and Watch,Positive
Black Summer,30,7,63,Do not Watch,Negative
Elite Short Stories: Carla Samuel,3,0,20,Go and Watch,Positive
Fan Girl,67,20,13,Go and Watch,Positive
Katla,0,0,100,You Decide,Neutral
Record of Ragnarok,40,7,53,Do not Watch,Negative
Red Snow,40,17,43,You Decide,Neutral
Silver Linings Playbook,40,17,43,You Decide,Neutral
The Gift,93,3,3,Go and Watch,Positive
A Man For The Week End,50,23,27,Go and Watch,Positive
Biking Borders,10,0,7,You Decide,Neutral
Elite Short Stories: Omar Ander Alexis,0,0,10,You Decide,Neutral
Let's Eat,40,23,37,Go and Watch,Positive
Lowriders,50,20,30,Go and Watch,Positive
Millennials,47,33,20,Go and Watch,Positive
Penguin Town,40,10,50,You Decide,Neutral
Security,57,23,20,Go and Watch,Positive
Silver Skates,23,0,37,You Decide,Neutral
Avengers Climate Conundrum,3,0,0,Go and Watch,Positive
Beyond Evil,10,77,13,Do not Watch,Negative
Elite Short Stories: Nadia Guzmán,0,0,23,You Decide,Neutral
FTA,17,3,80,You Decide,Neutral
Headspace: Unwind Your Mind,0,0,0,Go and Watch,Positive
Life of Crime,23,53,23,Do not Watch,Negative
Power Rangers Dino Fury,13,57,30,Do not Watch,Negative
Rhyme Time Town,3,3,0,Go and Watch,Positive
Rogue Warfare: Death of a Nation,0,0,0,Go and Watch,Positive
Sir! No Sir!,27,63,10,Do not Watch,Negative
The American Bible Challenge,0,0,0,Go and Watch,Positive
The Reason I Jump,40,27,33,Go and Watch,Positive
Elite Short Stories: Guzmán Caye Rebe,0,0,13,You Decide,Neutral
Metallica: Some Kind of Monster,13,3,30,You Decide,Neutral
Picture a Scientist,53,17,30,Go and Watch,Positive
The Devil Below,30,53,17,Do not Watch,Negative
Bling Empire - The Afterparty,0,0,0,Go and Watch,Positive
Cobra Kai - The Afterparty,0,0,0,Go and Watch,Positive
Love (ft. Marriage and Divorce),90,0,10,Go and Watch,Positive
To All the Boys: Always and Forever - The Afterparty,0,0,0,Go and Watch,Positive
LEGO Friends: The Power of Friendship,0,0,0,Go and Watch,Positive
Lupin,3,10,87,You Decide,Neutral
Sarbath,17,3,80,You Decide,Neutral
Skater Girl,43,7,50,Do not Watch,Negative
Trese,3,17,80,You Decide,Neutral
Trese After Dark,0,0,0,Go and Watch,Positive
Wish Dragon,70,20,10,Go and Watch,Positive
A Haunted House 2,13,73,13,Do not Watch,Negative
Blind Intersections,23,37,3,Do not Watch,Negative
Camellia Sisters,7,3,3,Go and Watch,Positive
Copenhagen,37,13,50,You Decide,Neutral
Locombianos,0,13,20,You Decide,Neutral
Until Midnight,40,30,30,Go and Watch,Positive
Awake,33,10,57,You Decide,Neutral
Confusion Na Wa,13,17,10,Do not Watch,Negative
"Fresh, Fried & Crispy",63,7,10,Do not Watch,Negative
L.A.’s Finest,3,37,60,You Decide,Neutral
Tragic Jungle,3,20,7,You Decide,Neutral
Guru Aur Bhole,0,0,7,You Decide,Neutral
Vampire Academy,57,10,33,Go and Watch,Positive
"Newly Rich, Newly Poor",13,13,3,You Decide,Neutral
A Private War,23,63,13,Do not Watch,Negative
Kitty Love: An Homage to Cats,0,0,3,You Decide,Neutral
Small Chops,37,23,40,You Decide,Neutral
Breaking Boundaries: The Science Of Our Planet,17,0,10,Go and Watch,Positive
Feel Good,70,23,7,Go and Watch,Positive
Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home,0,0,0,Go and Watch,Positive
Fireplace 4K: Crackling Birchwood from Fireplace for Your Home,0,0,0,Go and Watch,Positive
Human: The World Within,57,27,17,Go and Watch,Positive
Sweet & Sour,80,10,10,Go and Watch,Positive
Sweet Tooth,83,17,0,Go and Watch,Positive
Trippin' with the Kandasamys,0,0,7,You Decide,Neutral
Xtreme,10,0,90,You Decide,Neutral
Alan Saldaña: Locked Up,0,0,0,Go and Watch,Positive
Creator's File: GOLD,0,0,0,Go and Watch,Positive
Dancing Queens,47,20,33,Go and Watch,Positive
From Stress to Happiness,57,33,10,Go and Watch,Positive
Myriam Fares: The Journey,0,0,0,Go and Watch,Positive
Pretty Guardian Sailor Moon Eternal The Movie,20,0,0,Go and Watch,Positive
Summertime,43,17,40,Go and Watch,Positive
The Girl and the Gun,47,40,13,Go and Watch,Positive
2 Hearts,40,20,40,Go and Watch,Positive
A Perfect Ending,73,13,13,Go and Watch,Positive
American Outlaws,13,17,70,You Decide,Neutral
And Then Came Lola,13,7,10,Do not Watch,Negative
Attack on Titan,20,70,10,Do not Watch,Negative
Battlefield Earth,40,47,13,Do not Watch,Negative
Ben & Holly's Little Kingdom,37,3,23,Go and Watch,Positive
Black Holes | The Edge of All We Know,3,3,20,Go and Watch,Positive
Bliss,67,13,20,Go and Watch,Positive
Carnaval,0,27,73,You Decide,Neutral
Cloudburst,33,13,53,You Decide,Neutral
Cocomelon,37,30,33,Go and Watch,Positive
Company of Heroes,83,7,10,Go and Watch,Positive
Cradle 2 the Grave,23,37,30,Do not Watch,Negative
Domestic Disturbance,0,97,3,Do not Watch,Negative
Downton Abbey,13,10,77,You Decide,Neutral
Dream/Killer,40,57,3,Do not Watch,Negative
Felon,27,23,50,You Decide,Neutral
Flipped,40,20,40,Go and Watch,Positive
Fools Rush In,23,70,7,Do not Watch,Negative
Gold Statue,43,17,40,Go and Watch,Positive
Happy Endings,67,20,13,Go and Watch,Positive
Hostel: Part III,0,13,13,Do not Watch,Negative
I Am Sam,30,40,30,Do not Watch,Negative
Love Jones,87,7,7,Go and Watch,Positive
Million Dollar Baby,23,20,57,You Decide,Neutral
Mosquita y Mari,0,0,0,Go and Watch,Positive
Never Back Down 2: The Beatdown,0,0,7,You Decide,Neutral
Ninja Assassin,33,27,40,You Decide,Neutral
Ouran High School Host Club,20,17,63,You Decide,Neutral
Population 436,3,7,10,Do not Watch,Negative
Racket Boys,30,10,60,You Decide,Neutral
Seven Souls in the Skull Castle: Season Moon Jogen,0,0,0,Go and Watch,Positive
Seven Souls in the Skull Castle: Season Moon Kagen,0,0,0,Go and Watch,Positive
Sniper: Legacy,10,17,30,You Decide,Neutral
Starsky & Hutch,30,13,57,You Decide,Neutral
Streets of Fire,20,57,23,Do not Watch,Negative
Super Monsters: Once Upon a Rhyme,0,0,0,Go and Watch,Positive
Swordfish,10,23,67,You Decide,Neutral
The Adventures of Sonic the Hedgehog,87,3,10,Go and Watch,Positive
The Four Seasons,37,7,57,Do not Watch,Negative
The Girl King,33,27,40,You Decide,Neutral
The Interpreter,33,27,40,You Decide,Neutral
The Meddler,33,37,30,Do not Watch,Negative
The Mirror Has Two Faces,20,13,37,You Decide,Neutral
The Outlaw Josey Wales,30,20,50,You Decide,Neutral
The Platform,30,33,37,You Decide,Neutral
The Wedding Guest,37,30,33,Go and Watch,Positive
The Wind,60,7,33,Do not Watch,Negative
Then Came You,33,37,30,Do not Watch,Negative
Welcome Home,97,0,3,Go and Watch,Positive
Dirty John,30,50,20,Do not Watch,Negative
Bo Burnham: Inside,47,17,37,Go and Watch,Positive
One Lagos Night,33,40,27,Do not Watch,Negative
Collateral Beauty,87,3,10,Go and Watch,Positive
Dog Gone Trouble,3,10,0,Go and Watch,Positive
The Kominsky Method,27,13,60,You Decide,Neutral
The Least Expected Day: Inside the Movistar Team 2019,0,0,0,Go and Watch,Positive
Word of Honor,80,13,7,Go and Watch,Positive
Black Space,40,27,33,Go and Watch,Positive
Blue Miracle,63,3,33,Go and Watch,Positive
Eden,67,0,33,Go and Watch,Positive
Ghost Lab,33,47,20,Do not Watch,Negative
Ragnarok,30,13,57,You Decide,Neutral
Soy Rada: Serendipity,0,0,0,Go and Watch,Positive
The Day I lost My Shadow,10,7,3,Do not Watch,Negative
Baggio: The Divine Ponytail,20,0,7,You Decide,Neutral
Motu Patlu: Deep Sea Adventure,0,0,0,Go and Watch,Positive
Durarara!!,40,3,57,You Decide,Neutral
Universal Soldier: The Return,10,3,3,Do not Watch,Negative
Safe Haven,70,7,23,Go and Watch,Positive
Little Big Women,23,40,37,Do not Watch,Negative
Nailed It! Mexico,10,3,17,Do not Watch,Negative
Nocturnal Animals,27,10,63,You Decide,Neutral
Over Christmas,33,30,37,You Decide,Neutral
Love & Anarchy,83,3,13,Go and Watch,Positive
Someone Has to Die,13,77,10,Do not Watch,Negative
Golmaal Returns,13,0,13,Go and Watch,Positive
Transformers: Cyberverse,40,23,37,Go and Watch,Positive
(Un)Well,53,20,27,Go and Watch,Positive
The Players,57,17,27,Go and Watch,Positive
Vivah,17,7,77,You Decide,Neutral
True: Rainbow Rescue,3,0,3,Go and Watch,Positive
The Wrong Missy,17,70,13,Do not Watch,Negative
After Life,43,33,23,Go and Watch,Positive
Saint Seiya,0,43,57,You Decide,Neutral
Angu Vaikuntapurathu (Malayalam),0,0,0,Go and Watch,Positive
Jada,23,30,47,You Decide,Neutral
Until Dawn,27,33,40,You Decide,Neutral
Isoken,7,0,93,You Decide,Neutral
Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,0,0,0,Go and Watch,Positive
Maid-Sama!,33,17,50,You Decide,Neutral
Rhythm + Flow,33,37,30,Do not Watch,Negative
Moving Art,53,13,33,Go and Watch,Positive
My First First Love,73,13,13,Go and Watch,Positive
Pihu,10,0,90,You Decide,Neutral
The Society,40,37,23,Go and Watch,Positive
Quicksand,20,33,47,You Decide,Neutral
That Thing Called Tadhana,20,3,33,You Decide,Neutral
LEGO Marvel Super Heroes: Guardians of the Galaxy,0,0,0,Go and Watch,Positive
Sam Kinison: The Scream Continues,0,0,0,Go and Watch,Positive
Haunted House,30,63,7,You Decide,Neutral
Hattrick,27,13,60,You Decide,Neutral
Eric ldle's What About Dick?,0,0,0,Go and Watch,Positive
Super Monsters Monster Party,0,0,0,Go and Watch,Positive
Invisible,40,10,50,You Decide,Neutral
Bad Genius,27,70,3,Do not Watch,Negative
Todo lo que sería Lucas Lauriente,0,0,0,Go and Watch,Positive
Love Per Square Foot,17,0,0,Go and Watch,Positive
DreamWorks Home: For the Holidays,0,0,0,Go and Watch,Positive
Generation Iron 2,3,3,0,Go and Watch,Positive
LEGO Marvel Super Heroes: Avengers Reassembled!,0,0,0,Go and Watch,Positive
Shimmer Lake,17,0,7,You Decide,Neutral
Win It All,57,37,7,You Decide,Neutral
We're Lalaloopsy,0,0,0,Go and Watch,Positive
They Are Everywhere,33,47,20,Do not Watch,Negative
The Fundamentals of Caring,83,10,7,Go and Watch,Positive
Breaking Bad,13,83,3,Do not Watch,Negative
A Haunting at Silver Falls: The Return,0,0,0,Go and Watch,Positive
American Experience: The Island Murder,0,0,0,Go and Watch,Positive
Barbie: Princess Charm School,93,3,3,Go and Watch,Positive
Blue Mountain State: The Rise of Thadland,0,0,0,Go and Watch,Positive
Chal Mere Bhai,30,10,60,You Decide,Neutral
Crash,13,73,13,Do not Watch,Negative
Dr. Seuss' The Grinch,33,3,23,Go and Watch,Positive
Farce,10,70,20,Do not Watch,Negative
Get Santa,57,20,23,Go and Watch,Positive
Have You Seen the Listers?,0,0,0,Go and Watch,Positive
I Am Not Madame Bovary,0,3,0,Do not Watch,Negative
Jonathan Strange & Mr Norrell,37,60,3,Do not Watch,Negative
Kung Fu Magoo,0,0,0,Go and Watch,Positive
Los tiempos de Pablo Escobar,3,30,67,You Decide,Neutral
Memoir of a Murderer,7,83,10,Do not Watch,Negative
My Life My Story,30,10,60,You Decide,Neutral
OCTB,3,3,93,You Decide,Neutral
Pick of the Litter,50,17,33,Go and Watch,Positive
Rebelde,3,17,80,You Decide,Neutral
Sat Sri Akal,30,0,70,You Decide,Neutral
Slobby's World,0,0,0,Go and Watch,Positive
Swiss Army Man,37,13,50,You Decide,Neutral
The Cell,50,27,23,Go and Watch,Positive
The Heat: A Kitchen (R)evolution,0,0,0,Go and Watch,Positive
The NSU-Complex,0,0,0,Go and Watch,Positive
The Tuxedo,43,20,37,Go and Watch,Positive
Tunisian Victory,100,0,0,Go and Watch,Positive
Wild Alaska,37,23,40,You Decide,Neutral
Jailbirds New Orleans,0,0,13,You Decide,Neutral
Sankofa,60,10,30,Go and Watch,Positive
The Starling,47,10,43,Go and Watch,Positive
Minsara Kanavu,10,0,30,You Decide,Neutral
Birth of the Dragon,43,37,20,Go and Watch,Positive
Safe House,73,13,13,Go and Watch,Positive
King of Boys,30,27,43,You Decide,Neutral
Little Singham - Black Shadow,0,0,0,Go and Watch,Positive
Tughlaq Durbar (Telugu),0,0,0,Go and Watch,Positive
Tayo the Little Bus,13,7,27,Do not Watch,Negative
Dive Club,50,10,40,Go and Watch,Positive
Money Heist: From Tokyo to Berlin,0,0,3,You Decide,Neutral
Chappie,43,27,30,Go and Watch,Positive
Cold Mountain,57,17,27,Go and Watch,Positive
Freedom Writers,73,13,13,Go and Watch,Positive
Kuroko's Basketball,23,23,53,You Decide,Neutral
Marshall,43,13,43,Go and Watch,Positive
Oldsters,23,33,43,You Decide,Neutral
The Blue Lagoon,37,13,50,You Decide,Neutral
