Web Series,Positive,Negative,Neutral,Analysis,Status,EncodedStatus,numVotes,averageRating,rotten_Tomatoes,Calculated_rating
Dick Johnson Is Dead,10,37,7,You Decide,Neutral,2,1124,7.8,7.5,5
Blood & Water,23,23,53,You Decide,Neutral,2,2064,7.8,6.8,4.9
Ganglands,33,13,53,You Decide,Neutral,2,1181,8.4,4.1,4.2
Jailbirds New Orleans,0,0,13,You Decide,Neutral,2,4676,8.6,6.2,4.9
Kota Factory,23,13,63,You Decide,Neutral,2,1231,8.4,7.1,5
Midnight Mass,27,17,57,You Decide,Neutral,2,1311,8.6,8,5
My Little Pony: A New Generation,13,7,80,You Decide,Neutral,2,1787,7.5,6,4.5
Sankofa,60,10,30,Go and Watch,Positive,1,21997,8.4,6.5,5
The Great British Baking Show,93,7,0,Go and Watch,Positive,1,1024,8.2,3.5,3.9
The Starling,50,7,43,Do not Watch,Negative,0,1068,8.2,8.3,5
"Vendetta: Truth, Lies and The Mafia",0,0,0,Go and Watch,Positive,1,1154,7.4,7.4,4.9
Bangkok Breaking,13,7,57,Do not Watch,Negative,0,3327,7.7,6.2,4.6
Je Suis Karl,7,10,83,You Decide,Neutral,2,1444,6.3,8,4.8
Confessions of an Invisible Girl,3,0,7,You Decide,Neutral,2,1677,4.7,5.9,3.5
Crime Stories: India Detectives,0,0,0,Go and Watch,Positive,1,1650,8.5,7.2,5
Dear White People,83,10,7,Go and Watch,Positive,1,1897,7.4,6.9,4.8
Europe's Most Dangerous Man: Otto Skorzeny in Spain,0,10,0,Do not Watch,Negative,0,2868,6.6,8.1,4.9
Falsa identidad,3,7,90,You Decide,Neutral,2,14774,8.5,8.6,5
Intrusion,30,27,43,You Decide,Neutral,2,1171,8.2,8,5
Jaguar,20,23,57,You Decide,Neutral,2,1374,7.9,8,5
Monsters Inside: The 24 Faces of Billy Milligan,10,3,20,Do not Watch,Negative,0,5084,7.9,7.9,5
Resurrection: Ertugrul,17,0,83,You Decide,Neutral,2,1360,8.4,6.3,4.9
Avvai Shanmughi,13,10,7,You Decide,Neutral,2,1835,6,5.9,4
Go! Go! Cory Carson: Chrissy Takes the Wheel,0,0,3,You Decide,Neutral,2,1389,7,8.2,5
Jeans,33,20,47,You Decide,Neutral,2,2322,8.4,8,5
Love on the Spectrum,73,17,10,Go and Watch,Positive,1,6735,7.5,7,4.8
Minsara Kanavu,10,0,30,You Decide,Neutral,2,2580,8,6,4.7
Grown Ups,27,37,37,Do not Watch,Negative,0,5147,8.2,6.7,5
Dark Skies,63,10,27,Go and Watch,Positive,1,2341,7.4,6.5,4.6
Paranoia,17,63,20,Do not Watch,Negative,0,3120,8.2,6.4,4.9
Ankahi Kahaniya,0,0,0,Go and Watch,Positive,1,1204,7.7,6.5,4.7
Chicago Party Aunt,50,0,0,Go and Watch,Positive,1,1346,7.4,6.3,4.6
Sex Education,17,27,57,You Decide,Neutral,2,3180,6.6,7.9,4.8
Squid Game,17,23,60,You Decide,Neutral,2,1066,8,5.7,4.6
Tayo and Little Wizards,0,0,0,Go and Watch,Positive,1,3237,8.3,7.2,5
The Father Who Moves Mountains,3,3,0,Go and Watch,Positive,1,1085,7.6,7,4.9
The Stronghold,43,40,17,Go and Watch,Positive,1,1932,8.1,5.8,4.6
Angry Birds,23,73,3,Do not Watch,Negative,0,1265,7.8,6.5,4.8
Birth of the Dragon,43,37,20,Go and Watch,Positive,1,7926,7.3,6.7,4.7
Chhota Bheem,43,7,50,Do not Watch,Negative,0,1815,7.1,8,5
He-Man and the Masters of the Universe,30,7,63,Do not Watch,Negative,0,1473,7.6,5.3,4.3
Jaws,13,30,57,You Decide,Neutral,2,3176,8,8.8,5
Jaws 2,33,13,53,You Decide,Neutral,2,3523,7.7,6.9,4.9
Jaws 3,40,20,40,Go and Watch,Positive,1,71073,9,6.9,5
Jaws: The Revenge,17,80,3,Do not Watch,Negative,0,2344,8,7.7,5
My Heroes Were Cowboys,3,0,0,Go and Watch,Positive,1,12235,8.3,6.3,4.9
Safe House,70,17,13,Go and Watch,Positive,1,31143,8.6,5.8,4.8
The Smart Money Woman,73,20,7,Go and Watch,Positive,1,4823,5.5,6.8,4.1
Training Day,60,10,30,Go and Watch,Positive,1,1002,7.9,6.8,4.9
Castle and Castle,53,20,27,Go and Watch,Positive,1,32833,7.5,6.3,4.6
Dharmakshetra,10,10,10,Go and Watch,Positive,1,3076,7,7.3,4.8
InuYasha the Movie 2: The Castle Beyond the Looking Glass,0,0,0,Go and Watch,Positive,1,1358,7.7,6.8,4.8
InuYasha the Movie 3: Swords of an Honorable Ruler,0,0,0,Go and Watch,Positive,1,1226,8.2,7,5
InuYasha the Movie 4: Fire on the Mystic Island,0,0,0,Go and Watch,Positive,1,6772,8.3,6,4.8
InuYasha the Movie: Affections Touching Across Time,3,0,0,Go and Watch,Positive,1,1323,7.7,6.3,4.7
Nailed It,27,3,70,You Decide,Neutral,2,8733,8.3,6.8,5
Naruto Shippuden the Movie: Blood Prison,0,0,0,Go and Watch,Positive,1,1392,7.2,6.7,4.6
Naruto Shippûden the Movie: Bonds,0,0,3,You Decide,Neutral,2,3652,7,7,4.7
Naruto Shippûden the Movie: The Will of Fire,0,0,0,Go and Watch,Positive,1,6824,7.1,6.4,4.5
Naruto Shippuden: The Movie,13,53,33,Do not Watch,Negative,0,3880,8.5,6.7,5
Dick Johnson Is Dead,10,37,7,You Decide,Neutral,2,8027,7.2,7.9,5
Blood & Water,27,20,53,You Decide,Neutral,2,2262,8.4,6.6,5
Ganglands,33,13,53,You Decide,Neutral,2,18664,7,6.4,4.5
Jailbirds New Orleans,0,0,13,You Decide,Neutral,2,2267,7.2,8,5
Kota Factory,20,17,63,You Decide,Neutral,2,2432,7.4,7.2,4.9
Midnight Mass,23,17,60,You Decide,Neutral,2,4556,7.5,7,4.8
My Little Pony: A New Generation,17,7,77,You Decide,Neutral,2,3162,8.4,7.4,5
Sankofa,60,10,30,Go and Watch,Positive,1,1887,7.6,7.2,4.9
The Great British Baking Show,93,7,0,Go and Watch,Positive,1,35307,8.4,6.8,5
The Starling,47,10,43,Go and Watch,Positive,1,3368,8,8.3,5
"Vendetta: Truth, Lies and The Mafia",0,0,0,Go and Watch,Positive,1,4301,6.5,7.8,4.8
Bangkok Breaking,13,7,57,Do not Watch,Negative,0,2143,7.3,7.9,5
Je Suis Karl,7,10,83,You Decide,Neutral,2,7243,8.2,6.9,5
Confessions of an Invisible Girl,3,0,7,You Decide,Neutral,2,1184,7.2,9,5
Crime Stories: India Detectives,0,0,0,Go and Watch,Positive,1,2499,7,8.1,5
Dear White People,83,10,7,Go and Watch,Positive,1,14469,8,7.6,5
Europe's Most Dangerous Man: Otto Skorzeny in Spain,0,10,0,Do not Watch,Negative,0,4167,7.8,7.2,5
Falsa identidad,3,7,90,You Decide,Neutral,2,17214,7.5,6.5,4.7
Intrusion,27,30,43,You Decide,Neutral,2,1668,7.4,7.7,5
Jaguar,20,23,57,You Decide,Neutral,2,2219,6.3,7.9,4.7
Monsters Inside: The 24 Faces of Billy Milligan,10,3,20,Do not Watch,Negative,0,12845,7.3,7,4.8
Resurrection: Ertugrul,17,0,83,You Decide,Neutral,2,2882,7,8.8,5
Avvai Shanmughi,13,10,7,You Decide,Neutral,2,4782,7.7,6.9,4.9
Go! Go! Cory Carson: Chrissy Takes the Wheel,0,0,3,You Decide,Neutral,2,12491,7.8,6.5,4.8
Jeans,30,23,47,You Decide,Neutral,2,2779,7.7,7.1,4.9
Love on the Spectrum,77,13,10,Go and Watch,Positive,1,1056,7.3,7.3,4.9
Minsara Kanavu,10,0,30,You Decide,Neutral,2,3927,7.9,7.7,5
Grown Ups,33,37,30,Do not Watch,Negative,0,1395,7.1,7,4.7
Dark Skies,63,10,27,Go and Watch,Positive,1,3219,7.2,6,4.4
Paranoia,3,60,37,Do not Watch,Negative,0,1826,6.5,6.3,4.3
Ankahi Kahaniya,0,0,0,Go and Watch,Positive,1,2507,7.6,7.9,5
Chicago Party Aunt,57,0,0,Go and Watch,Positive,1,6088,5.1,6.5,3.9
Sex Education,23,23,53,You Decide,Neutral,2,1149,8.2,7,5
Squid Game,20,27,53,You Decide,Neutral,2,2452,7.3,7.5,4.9
Tayo and Little Wizards,0,0,0,Go and Watch,Positive,1,10953,8.2,8.8,5
The Father Who Moves Mountains,3,3,0,Go and Watch,Positive,1,1335,6.7,5.7,4.1
The Stronghold,37,47,17,Do not Watch,Negative,0,5764,7.2,7,4.7
Angry Birds,23,73,3,Do not Watch,Negative,0,8632,7.9,8,5
Birth of the Dragon,43,37,20,Go and Watch,Positive,1,13291,7.4,7.6,5
Chhota Bheem,43,7,50,Do not Watch,Negative,0,1959,7.1,7.2,4.8
He-Man and the Masters of the Universe,30,7,63,Do not Watch,Negative,0,6584,7.3,6.8,4.7
Jaws,23,20,57,You Decide,Neutral,2,1126,8.2,7.2,5
Jaws 2,33,13,53,You Decide,Neutral,2,1278,6.8,8,4.9
Jaws 3,37,23,40,You Decide,Neutral,2,4375,8.1,8.5,5
Jaws: The Revenge,17,80,3,Do not Watch,Negative,0,18896,7.5,7.5,5
My Heroes Were Cowboys,3,0,0,Go and Watch,Positive,1,1447,7.9,7.4,5
Safe House,73,13,13,Go and Watch,Positive,1,3936,8,7.1,5
The Smart Money Woman,73,20,7,Go and Watch,Positive,1,2178,6.9,8.1,5
Training Day,67,13,20,Go and Watch,Positive,1,2587,7.4,7.5,5
Castle and Castle,50,20,30,Go and Watch,Positive,1,1606,6.2,7.3,4.5
Dharmakshetra,10,10,10,Go and Watch,Positive,1,8060,7.9,7,5
InuYasha the Movie 2: The Castle Beyond the Looking Glass,0,0,0,Go and Watch,Positive,1,3669,7.4,3.8,3.7
InuYasha the Movie 3: Swords of an Honorable Ruler,0,0,0,Go and Watch,Positive,1,1430,7.5,7.1,4.9
InuYasha the Movie 4: Fire on the Mystic Island,0,0,0,Go and Watch,Positive,1,9055,8,7.1,5
InuYasha the Movie: Affections Touching Across Time,3,0,0,Go and Watch,Positive,1,1535,7.3,8.3,5
Nailed It,33,13,53,You Decide,Neutral,2,73391,8.3,6.7,5
Naruto Shippuden the Movie: Blood Prison,0,0,0,Go and Watch,Positive,1,2209,7.1,7.7,4.9
Naruto Shippûden the Movie: Bonds,0,0,3,You Decide,Neutral,2,3132,7.6,7.6,5
Naruto Shippûden the Movie: The Will of Fire,0,0,0,Go and Watch,Positive,1,2046,7.2,8.4,5
Naruto Shippuden: The Movie,13,53,33,Do not Watch,Negative,0,4841,8.8,8,5
Naruto Shippuden: The Movie: The Lost Tower,7,0,0,Go and Watch,Positive,1,2278,7.6,8.3,5
Naruto the Movie 2: Legend of the Stone of Gelel,0,0,0,Go and Watch,Positive,1,1170,6.7,6.9,4.5
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,0,0,0,Go and Watch,Positive,1,2094,6.5,6.5,4.3
Naruto the Movie: Ninja Clash in the Land of Snow,0,7,3,Do not Watch,Negative,0,1685,7.7,6.8,4.8
Nightbooks,17,13,33,You Decide,Neutral,2,2518,8.1,6.5,4.9
Numberblocks,27,17,57,You Decide,Neutral,2,3073,6.9,7.8,4.9
Raja Rasoi Aur Anya Kahaniyan,3,0,0,Go and Watch,Positive,1,2711,7.3,7,4.8
Saved by the Bell,80,10,10,Go and Watch,Positive,1,12372,8.4,8,5
Schumacher,43,13,43,Go and Watch,Positive,1,1211,7.8,7.7,5
Stories by Rabindranath Tagore,13,0,3,You Decide,Neutral,2,2528,7.2,7,4.7
Too Hot To Handle: Latino,7,3,13,Go and Watch,Positive,1,3208,7.4,7.2,4.9
A StoryBots Space Adventure,0,0,0,Go and Watch,Positive,1,3133,7.6,7.1,4.9
Jack Whitehall: Travels with My Father,0,3,3,Do not Watch,Negative,0,1503,7.3,6.8,4.7
King of Boys,30,27,43,You Decide,Neutral,2,1221,7.5,8.8,5
The World's Most Amazing Vacation Rentals,10,0,0,Go and Watch,Positive,1,9445,8.5,7.1,5
You vs. Wild: Out Cold,0,0,0,Go and Watch,Positive,1,5614,8.1,7.9,5
Yowamushi Pedal,27,17,57,You Decide,Neutral,2,1102,7.7,8.6,5
Little Singham - Black Shadow,0,0,0,Go and Watch,Positive,1,5683,7.3,6.8,4.7
Tughlaq Durbar,3,3,0,Go and Watch,Positive,1,1251,6.9,6.9,4.6
Tughlaq Durbar (Telugu),0,0,0,Go and Watch,Positive,1,1701,7.6,6.3,4.6
Firedrake the Silver Dragon,0,0,0,Go and Watch,Positive,1,2181,7.1,7.6,4.9
Kate,23,7,70,You Decide,Neutral,2,7509,8.6,7.3,5
Lucifer,20,23,57,You Decide,Neutral,2,1735,6.9,7.1,4.7
Metal Shop Masters,7,3,3,Go and Watch,Positive,1,2188,6.8,7.5,4.8
Omo Ghetto: the Saga,17,10,10,Go and Watch,Positive,1,3556,7.4,7.8,5
Pokémon Master Journeys: The Series,7,0,7,Go and Watch,Positive,1,2566,8,8.8,5
Prey,40,37,23,Go and Watch,Positive,1,4471,7.5,7.5,5
Titipo Titipo,23,0,67,You Decide,Neutral,2,12388,6.7,7.8,4.8
Blood Brothers: Malcolm X & Muhammad Ali,0,0,7,You Decide,Neutral,2,1136,7.2,7.8,5
Mighty Raju,7,0,20,Go and Watch,Positive,1,3198,7.1,7.3,4.8
Paradise Hills,73,10,17,Go and Watch,Positive,1,1526,7.4,7,4.8
The Women and the Murderer,20,70,10,Do not Watch,Negative,0,1285,6.9,7.7,4.9
Into the Night,33,27,40,You Decide,Neutral,2,1815,6.8,7.3,4.7
JJ+E,33,13,53,You Decide,Neutral,2,1338,7,7.2,4.7
Show Dogs,47,27,27,Go and Watch,Positive,1,67322,8.8,7.8,5
The Circle,60,17,23,Go and Watch,Positive,1,1956,7,8.7,5
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,0,0,0,Go and Watch,Positive,1,15925,7.6,7.9,5
Kid Cosmic,17,23,60,You Decide,Neutral,2,1093,7.6,8.9,5
Octonauts: Above & Beyond,7,3,0,Go and Watch,Positive,1,30053,7.9,6.1,4.7
On the Verge,30,43,27,Do not Watch,Negative,0,12015,8.1,6.2,4.8
Tobot Galaxy Detectives,0,0,3,You Decide,Neutral,2,2856,7.9,6.7,4.9
Untold: Breaking Point,13,3,13,Do not Watch,Negative,0,1213,7.1,7.4,4.8
Countdown: Inspiration4 Mission to Space,23,0,57,You Decide,Neutral,2,2526,6.6,6.7,4.4
Shadow Parties,50,33,17,Go and Watch,Positive,1,1442,7.7,8.4,5
Tayo the Little Bus,13,7,27,Do not Watch,Negative,0,1762,6.2,7.6,4.6
Angamaly Diaries,17,0,47,You Decide,Neutral,2,6956,8.1,8,5
Bunk'd,40,20,40,Go and Watch,Positive,1,2743,6.9,9.1,5
A Champion Heart,77,17,7,Go and Watch,Positive,1,1354,8.2,7.9,5
Dive Club,50,10,40,Go and Watch,Positive,1,4783,8,7,5
La casa de papel,7,30,63,Go and Watch,Positive,1,5277,7.8,7,4.9
Money Heist: From Tokyo to Berlin,0,0,3,You Decide,Neutral,2,3424,6.4,8.6,5
Sharkdog,23,37,40,You Decide,Neutral,2,1690,7.6,7.4,5
Worth,60,27,13,Go and Watch,Positive,1,13966,8.3,7.7,5
Afterlife of the Party,53,47,0,Go and Watch,Positive,1,2655,6.7,7,4.6
Anjaam,10,7,83,You Decide,Neutral,2,1773,8.1,7,5
Bright Star,67,10,23,Go and Watch,Positive,1,1523,8.7,8,5
Dhanak,40,7,53,Do not Watch,Negative,0,2042,7.1,6.9,4.7
Final Account,33,20,47,You Decide,Neutral,2,4711,8.1,6.9,5
Gurgaon,20,37,43,You Decide,Neutral,2,1181,8.4,6.6,5
Here and There,33,40,27,Do not Watch,Negative,0,2940,7.8,7.3,5
Heroes of Goo Jit Zu,43,0,0,Go and Watch,Positive,1,2679,8.3,8.5,5
Hotel Del Luna,17,23,60,You Decide,Neutral,2,7137,7.9,7.6,5
In the Cut,20,63,17,Do not Watch,Negative,0,1291,7.6,6.2,4.6
Luv Kushh,0,0,0,Go and Watch,Positive,1,4889,8.1,7,5
Pororo - The Little Penguin,7,7,10,Go and Watch,Positive,1,3849,7.8,8.1,5
Q-Force,20,23,57,You Decide,Neutral,2,2840,4.8,7.5,4.1
Shikara,40,27,33,Go and Watch,Positive,1,2027,6.8,7.4,4.7
A Cinderella Story,37,10,53,You Decide,Neutral,2,5244,7.7,8.7,5
Agatha Christie's Crooked House,0,0,0,Go and Watch,Positive,1,50123,8.4,8.7,5
An Unfinished Life,20,47,33,Do not Watch,Negative,0,3337,7.1,7.5,4.9
Barbie Big City Big Dreams,93,3,3,Go and Watch,Positive,1,4234,7.7,7.3,5
Blade Runner: The Final Cut,23,60,17,Do not Watch,Negative,0,3312,7.5,8.5,5
Brave Animated Series,53,7,10,Do not Watch,Negative,0,7826,7.9,7.1,5
Chappie,43,27,30,Go and Watch,Positive,1,5097,7.3,6.8,4.7
Clear and Present Danger,27,63,10,Do not Watch,Negative,0,5699,7.6,9,5
Cliffhanger,43,20,37,Go and Watch,Positive,1,1275,7.8,6.6,4.8
Cold Mountain,57,17,27,Go and Watch,Positive,1,1516,8.1,7.8,5
Crocodile Dundee in Los Angeles,0,0,7,You Decide,Neutral,2,2163,6.8,7.5,4.8
Dear John,80,7,13,Go and Watch,Positive,1,2983,7.9,7.8,5
Do the Right Thing,57,30,13,Go and Watch,Positive,1,6608,7.1,7.9,5
"El patrón, radiografía de un crimen",3,0,47,You Decide,Neutral,2,2616,7,6.3,4.4
Extraction,43,27,30,Go and Watch,Positive,1,1165,7.2,5,4.1
Freedom Writers,73,13,13,Go and Watch,Positive,1,1707,8.3,8,5
Green Lantern,50,10,40,Go and Watch,Positive,1,3329,8.1,6.1,4.7
House Party,67,27,7,You Decide,Neutral,2,3954,8.9,7.6,5
House Party 2,47,33,20,Go and Watch,Positive,1,3222,7.5,8.2,5
House Party 3,47,27,27,Go and Watch,Positive,1,5929,7.4,6.9,4.8
How to Be a Cowboy,50,27,23,Go and Watch,Positive,1,2000,7.3,8,5
HQ Barbers,0,0,0,Go and Watch,Positive,1,1058,7.6,7.2,4.9
I Got the Hook Up,53,13,33,Go and Watch,Positive,1,5609,5.1,6.6,3.9
In Too Deep,40,27,33,Go and Watch,Positive,1,14662,8.4,8.6,5
Initial D,23,27,50,You Decide,Neutral,2,5376,7.8,8.5,5
Janoskians: Untold and Untrue,0,0,0,Go and Watch,Positive,1,4672,7.5,7.5,5
Kid-E-Cats,0,0,13,You Decide,Neutral,2,1435,6.5,7.8,4.8
Kuroko's Basketball,23,23,53,You Decide,Neutral,2,5880,7.3,8.1,5
Labyrinth,27,17,57,You Decide,Neutral,2,16235,7.4,7.2,4.9
Letters to Juliet,7,3,90,You Decide,Neutral,2,3169,6.9,8.1,5
Level 16,37,17,47,You Decide,Neutral,2,4232,8.5,7,5
Love Don't Cost a Thing,90,10,0,Go and Watch,Positive,1,2499,7.1,7.3,4.8
Love in a Puff,83,10,7,Go and Watch,Positive,1,18016,7.4,9,5
Major Dad,53,23,23,Go and Watch,Positive,1,1496,8.6,7.2,5
Mars Attacks!,3,90,7,Do not Watch,Negative,0,4176,7.2,7.2,4.8
Marshall,43,13,43,Go and Watch,Positive,1,1610,6.5,6.8,4.4
My Boss's Daughter,50,17,33,Go and Watch,Positive,1,5442,8.2,7.9,5
Mystery Men,40,43,17,Do not Watch,Negative,0,2155,6.8,6.2,4.3
Oldsters,23,33,43,You Decide,Neutral,2,2256,7.7,8.8,5
Once Upon a Time in America,23,10,67,You Decide,Neutral,2,6918,8.1,7.4,5
Open Season 2,43,20,37,Go and Watch,Positive,1,1239,6.7,8,4.9
Osmosis Jones,27,10,63,You Decide,Neutral,2,9480,7.1,7.2,4.8
Poseidon,40,17,43,You Decide,Neutral,2,1850,8,7.4,5
Rhyme & Reason,17,50,33,Do not Watch,Negative,0,22112,9.2,6.8,5
Same Kind of Different as Me,67,7,27,Do not Watch,Negative,0,2082,6.7,5.5,4.1
School of Rock,47,10,43,Go and Watch,Positive,1,4807,8.2,6.1,4.8
Snervous Tyler Oakley,0,0,0,Go and Watch,Positive,1,1136,8.4,6.7,5
Tears of the Sun,47,47,7,You Decide,Neutral,2,84746,8.7,8.6,5
The Blue Lagoon,37,13,50,You Decide,Neutral,2,1319,4.5,6.8,3.8
The Golden Child,27,23,50,You Decide,Neutral,2,7733,7.4,4,3.8
The Guns of Navarone,20,13,67,You Decide,Neutral,2,3722,6.5,8.5,5
The Interview,43,23,33,Go and Watch,Positive,1,1534,6.6,7.8,4.8
The Nutty Professor,27,27,47,You Decide,Neutral,2,42931,8.1,2.8,3.6
The Nutty Professor II: The Klumps,7,10,10,Go and Watch,Positive,1,7262,7.3,7.7,5
Turning Point: 9/11 and the War on Terror,0,17,0,Do not Watch,Negative,0,7806,7,7,4.7
Welcome Home Roscoe Jenkins,90,7,0,Go and Watch,Positive,1,1104,8.1,7.9,5
In the Line of Fire,40,53,7,You Decide,Neutral,2,5519,7,7,4.7
Sparking Joy,83,17,0,Go and Watch,Positive,1,2640,6.7,6.1,4.3
Untold: Crime & Penalties,3,17,3,Go and Watch,Positive,1,11129,8.1,6.6,4.9
Hometown Cha-Cha-Cha,20,20,60,You Decide,Neutral,2,3923,6.8,7,4.6
The Ingenuity of the Househusband,0,0,3,You Decide,Neutral,2,2349,7.6,8.4,5
2 Alone in Paris,7,10,3,Go and Watch,Positive,1,6228,6.7,6.6,4.4
Bread Barbershop,7,7,10,Go and Watch,Positive,1,10763,6.5,7.9,4.8
Thimmarusu,17,0,3,You Decide,Neutral,2,1646,7.9,7.3,5
Wind River,40,23,37,Go and Watch,Positive,1,1887,7.1,7.8,5
C Kkompany,0,0,0,Go and Watch,Positive,1,1206,7.5,8.9,5
D.P.,20,17,63,You Decide,Neutral,2,1279,7.1,4.7,3.9
Deadly Sins,20,70,10,Do not Watch,Negative,0,15723,8.7,7,5
EMI: Liya Hai To Chukana Padega,0,0,0,Go and Watch,Positive,1,6436,6.9,7.7,4.9
He's All That,53,23,23,Go and Watch,Positive,1,1066,7.6,7.7,5
I Heart Arlo,13,13,27,You Decide,Neutral,2,22307,8.4,7.8,5
King of Boys: The Return of the King,3,7,10,Do not Watch,Negative,0,2037,7.2,8,5
Koi Aap Sa,17,10,73,You Decide,Neutral,2,4748,7.6,7.1,4.9
Krishna Cottage,3,3,17,Go and Watch,Positive,1,1240,8.6,6.6,5
Kucch To Hai,7,7,87,You Decide,Neutral,2,5266,7.3,8.2,5
Kyaa Kool Hai Hum,0,0,0,Go and Watch,Positive,1,2704,8.2,7.2,5
Kyaa Kool Hain Hum 3,0,0,0,Go and Watch,Positive,1,1232,7.5,4.5,4
Kyaa Super Kool Hain Hum,0,3,0,Do not Watch,Negative,0,2973,7.6,7.4,5
Kyo Kii... Main Jhuth Nahin Bolta,0,0,0,Go and Watch,Positive,1,4544,7.4,7.7,5
"LSD: Love, Sex Aur Dhokha",0,0,0,Go and Watch,Positive,1,3061,6.9,8.8,5
Mission Istaanbul: Darr Ke Aagey Jeet Hai,0,0,0,Go and Watch,Positive,1,7095,7.1,6,4.4
Once Upon a Time in Mumbaai,3,3,3,Go and Watch,Positive,1,1060,8.5,7.8,5
Once Upon a Time in Mumbai Dobaara!,0,0,0,Go and Watch,Positive,1,3331,7.4,7.1,4.8
Ragini MMS,17,0,43,You Decide,Neutral,2,6442,8,7.4,5
Ragini MMS 2,7,0,13,Go and Watch,Positive,1,4500,8.3,7.6,5
Rebellion,47,40,13,Go and Watch,Positive,1,2494,8.3,8.1,5
RIDE ON TIME,67,3,30,Go and Watch,Positive,1,1546,7.2,6.2,4.5
SAS: Rise of the Black Swan,10,7,7,Do not Watch,Negative,0,8106,6.4,6.8,4.4
Shootout at Lokhandwala,30,0,33,You Decide,Neutral,2,2556,6.5,8.8,5
Shor In the City,3,0,13,Go and Watch,Positive,1,2889,8,7.5,5
The Dirty Picture,30,60,10,Do not Watch,Negative,0,1196,7,7.1,4.7
Titletown High,10,3,3,Do not Watch,Negative,0,1351,7.5,9.1,5
EDENS ZERO,20,23,57,You Decide,Neutral,2,19877,8.5,6.1,4.9
Family Reunion,20,10,70,You Decide,Neutral,2,1299,7.6,7.4,5
"Bob Ross: Happy Accidents, Betrayal & Greed",0,13,0,Do not Watch,Negative,0,2187,7.2,6.3,4.5
Clickbait,40,17,43,You Decide,Neutral,2,1693,7.2,7.3,4.8
John of God: The Crimes of a Spiritual Healer,0,0,0,Go and Watch,Positive,1,9026,6.1,7,4.4
Motel Makeover,17,3,17,Do not Watch,Negative,0,2066,6.5,5.9,4.1
Open Your Eyes,43,27,30,Go and Watch,Positive,1,7722,8.7,6.4,5
Post Mortem: No One Dies in Skarnes,0,3,3,Do not Watch,Negative,0,1034,7.1,9,5
Really Love,87,3,10,Go and Watch,Positive,1,2657,8,7,5
The November Man,33,30,37,You Decide,Neutral,2,1273,8,8.3,5
The Old Ways,60,30,10,Go and Watch,Positive,1,15994,8.4,6.4,4.9
The River Runner,43,20,37,Go and Watch,Positive,1,2097,8.5,7.8,5
The Water Man,27,37,37,Do not Watch,Negative,0,1122,8.6,8.7,5
Wheel of Fortune,40,17,43,You Decide,Neutral,2,5878,8.1,8.1,5
Count Me In,43,3,53,You Decide,Neutral,2,1632,7.7,7.7,5
