Web Series,Positive,Negative,Neutral,Analysis,Status,EncodedStatus,numVotes,averageRating,rotten_Tomatoes,Calculated_rating
Oggy Oggy,23,20,57,You Decide,Neutral,2,12278,7.5,7.1,4.9
Untold: Caitlyn Jenner,3,0,10,Go and Watch,Positive,1,1971,6.3,7.8,4.7
Boomika,3,0,23,Go and Watch,Positive,1,1745,7.6,7.7,5
Boomika (Hindi),0,0,0,Go and Watch,Positive,1,13813,7.2,7.2,4.8
Boomika (Malayalam),0,0,0,Go and Watch,Positive,1,3255,8,7.2,5
Boomika (Telugu),0,0,0,Go and Watch,Positive,1,2821,8.3,7.4,5
The Witcher: Nightmare of the Wolf,13,7,30,Do not Watch,Negative,0,1472,7.7,7.5,5
Manifest,33,20,47,You Decide,Neutral,2,3218,7.9,7.4,5
Comedy Premium League,0,0,0,Go and Watch,Positive,1,12018,7,7.1,4.7
Everything Will Be Fine,83,10,7,Go and Watch,Positive,1,9598,6.7,7.1,4.6
Gunshot,10,60,30,Do not Watch,Negative,0,1041,8.3,7.8,5
Korean Cold Noodle Rhapsody,0,0,0,Go and Watch,Positive,1,6803,6.5,7.1,4.5
Man in Love,67,10,23,Go and Watch,Positive,1,3653,8.7,7.4,5
Sweet Girl,90,7,3,Go and Watch,Positive,1,1055,7,7.5,4.8
The Chair,33,27,40,You Decide,Neutral,2,4535,8,8.6,5
The Loud House Movie,13,57,30,Do not Watch,Negative,0,1827,8.2,6.9,5
A Faraway Land,40,23,37,Go and Watch,Positive,1,11823,7,5.8,4.3
Like Crazy,57,43,0,Go and Watch,Positive,1,4095,9.2,9.3,5
Black Island,33,13,53,You Decide,Neutral,2,9783,7.2,7.2,4.8
Bombay,27,10,63,You Decide,Neutral,2,1048,8.4,6.9,5
Go! Go! Cory Carson,10,0,10,Go and Watch,Positive,1,1718,8.2,8.3,5
Memories of a Murderer: The Nilsen Tapes,0,20,0,Do not Watch,Negative,0,11549,7.6,7.4,5
Nneka The Pretty Serpent,73,27,0,Go and Watch,Positive,1,1508,6.7,8,4.9
O Kadhal Kanmani,7,7,20,Go and Watch,Positive,1,7975,7.9,8.1,5
Out of my league,57,23,20,Go and Watch,Positive,1,1093,8,7.1,5
Pahuna,0,3,13,Do not Watch,Negative,0,1051,7.7,6.8,4.8
The Defeated,17,83,0,Do not Watch,Negative,0,1502,7.7,7.2,5
The Secret Diary of an Exchange Student,0,0,0,Go and Watch,Positive,1,1334,6.5,7.3,4.6
Untold: Deal With the Devil,3,0,0,Go and Watch,Positive,1,2779,7.1,7.7,4.9
Mother Goose Club,7,7,13,Go and Watch,Positive,1,1694,8.3,6.3,4.9
Walk of Shame,17,73,10,Do not Watch,Negative,0,7724,6.9,5.7,4.2
Rascal Does Not Dream of Bunny Girl Senpai,23,70,7,Do not Watch,Negative,0,1059,9.3,6.6,5
The Creative Indians,23,7,7,Do not Watch,Negative,0,11435,7.1,6.3,4.5
The Piano,50,20,30,Go and Watch,Positive,1,5983,6.8,7.4,4.7
Unroyal,23,30,47,You Decide,Neutral,2,6343,6.6,7.5,4.7
Winx Club,30,23,47,You Decide,Neutral,2,2304,6.7,6.4,4.4
Beckett,33,23,43,You Decide,Neutral,2,1022,7.9,7.3,5
Brand New Cherry Flavor,10,30,60,You Decide,Neutral,2,4179,8.8,5.8,4.9
Fast & Furious Spy Racers,3,43,0,Do not Watch,Negative,0,1930,7.7,6.1,4.6
Gone for Good,83,10,7,Go and Watch,Positive,1,1458,8.4,7.2,5
Grace and Frankie,93,3,3,Go and Watch,Positive,1,2183,7.3,6.3,4.5
The Kingdom,50,17,33,Go and Watch,Positive,1,1753,7.6,6.7,4.8
Valeria,3,10,87,You Decide,Neutral,2,2359,7.8,6.1,4.6
AlRawabi School for Girls,17,27,57,You Decide,Neutral,2,1137,8.3,6.4,4.9
Lokillo: Nothing's the Same,0,0,0,Go and Watch,Positive,1,1388,8,6.5,4.8
Monster Hunter: Legends of the Guild,7,0,0,Go and Watch,Positive,1,1185,8.4,6.2,4.9
Bake Squad,23,13,50,You Decide,Neutral,2,1947,7.4,6.7,4.7
Brother Jekwu,0,0,3,You Decide,Neutral,2,1624,6.6,6.9,4.5
La diosa del asfalto,3,3,13,Go and Watch,Positive,1,1848,8.1,8.4,5
Misha and the Wolves,10,7,10,Do not Watch,Negative,0,1622,7.7,5.7,4.5
The Kissing Booth 3,87,7,7,Go and Watch,Positive,1,20733,6.8,7.9,4.9
The Railway Man,27,43,30,Do not Watch,Negative,0,3482,8.6,6.1,4.9
Gabby's Dollhouse,57,3,40,Go and Watch,Positive,1,4037,8.6,8,5
I Need Romance,57,20,23,Go and Watch,Positive,1,3237,6.7,8.3,5
Las muñecas de la mafia,3,23,73,You Decide,Neutral,2,3387,5.6,7.7,4.4
The Crowned Clown,37,17,47,You Decide,Neutral,2,1601,7.7,7.9,5
Untold: Malice at the Palace,10,0,7,You Decide,Neutral,2,22266,7.5,7.7,5
SHAMAN KING,10,27,63,You Decide,Neutral,2,2094,6.5,7.2,4.6
Quartet,20,3,77,You Decide,Neutral,2,2206,7.9,7.5,5
Slay,40,3,57,You Decide,Neutral,2,11543,8.1,7,5
Takizawa Kabuki ZERO 2020 The Movie,3,0,0,Go and Watch,Positive,1,7680,8.5,6.4,5
The Paper Tigers,33,30,37,You Decide,Neutral,2,1785,6.5,6,4.2
Hit & Run,23,53,23,Do not Watch,Negative,0,12636,8.6,8,5
Navarasa,17,10,73,You Decide,Neutral,2,1262,6.7,7.2,4.6
Quam's Money,3,0,10,Go and Watch,Positive,1,26350,8.8,7.4,5
The Swarm,53,27,20,Go and Watch,Positive,1,1013,6.8,5.6,4.1
Vivo,10,20,70,You Decide,Neutral,2,36548,9.3,7,5
Chennai Express,17,20,63,You Decide,Neutral,2,3164,7.4,7.3,4.9
City of God: 10 Years Later,3,0,0,Go and Watch,Positive,1,1990,7.3,8.2,5
Esperando la carroza,3,27,70,You Decide,Neutral,2,6484,6.3,7.5,4.6
Lady Boss: The Jackie Collins Story,10,0,3,You Decide,Neutral,2,1887,3.5,6.9,3.5
Tango Feroz,7,17,77,You Decide,Neutral,2,3258,6.1,6.7,4.3
'76,10,17,73,You Decide,Neutral,2,6381,7.1,7.7,4.9
Aftermath,20,43,37,Do not Watch,Negative,0,2595,6.4,8.4,4.9
American Masters: Inventing David Geffen,0,0,0,Go and Watch,Positive,1,4636,7.4,7.9,5
Car Masters: Rust to Riches,7,0,0,Go and Watch,Positive,1,7408,8.1,7.2,5
Cocaine Cowboys: The Kings of Miami,7,0,3,Go and Watch,Positive,1,10181,8,7.6,5
Control Z,13,37,50,You Decide,Neutral,2,1257,7.1,6.2,4.4
Cooking With Paris,57,7,37,Do not Watch,Negative,0,2047,7.9,4.7,4.2
Autumn's Concerto,10,10,17,You Decide,Neutral,2,46126,8.9,7.4,5
Heavy,20,37,43,You Decide,Neutral,2,1589,8.3,6.7,5
Ije: The Journey,3,0,0,Go and Watch,Positive,1,4545,7.1,7.1,4.7
Office Girls,63,13,23,Go and Watch,Positive,1,15915,7.2,7.3,4.8
Pray Away,50,37,13,Go and Watch,Positive,1,1119,7,6.6,4.5
Shiny_Flakes: The Teenage Drug Lord,0,0,0,Go and Watch,Positive,1,1086,5.9,5.9,3.9
The Prince Who Turns into a Frog,3,3,3,Go and Watch,Positive,1,1647,7.6,7.8,5
Top Secret UFO Projects: Declassified,20,0,3,You Decide,Neutral,2,5478,8.7,8.4,5
Two Fathers,63,20,17,Go and Watch,Positive,1,1491,7.6,7.8,5
You're My Destiny,63,10,27,Go and Watch,Positive,1,6579,8.5,7,5
30 Rock,20,20,60,You Decide,Neutral,2,3368,6.8,7.4,4.7
44 Cats,30,20,50,You Decide,Neutral,2,47939,7.8,6.3,4.7
Beethoven,20,30,50,You Decide,Neutral,2,1236,7.9,6.7,4.9
Beethoven's 2nd,23,7,37,Do not Watch,Negative,0,3211,7,7.3,4.8
Beowulf,17,17,67,You Decide,Neutral,2,15938,7.2,6.8,4.7
Boyka: Undisputed,13,7,30,Do not Watch,Negative,0,1417,6.9,5.8,4.2
Catch Me If You Can,23,13,63,You Decide,Neutral,2,30124,6.9,7.5,4.8
Cloudy with a Chance of Meatballs,83,10,7,Go and Watch,Positive,1,4004,7.5,7.2,4.9
Darwin’s Game,23,23,53,You Decide,Neutral,2,1064,7.8,5.5,4.4
Deep Blue Sea,43,43,13,Go and Watch,Positive,1,1008,6.6,8.2,4.9
Ferris Bueller's Day Off,47,7,47,Do not Watch,Negative,0,5710,7.7,7.9,5
Five Feet Apart,23,27,50,You Decide,Neutral,2,15867,8.4,7.1,5
Freedomland,23,10,67,You Decide,Neutral,2,7465,7.2,8,5
Friday Night Lights,27,23,50,You Decide,Neutral,2,1520,6.8,7.6,4.8
Good Luck Chuck,93,3,3,Go and Watch,Positive,1,3470,6.4,7.3,4.6
Hunter X Hunter (2011),17,3,80,You Decide,Neutral,2,3738,6.1,8.1,4.7
I missed you: Director's Cut,0,0,0,Go and Watch,Positive,1,3689,8.6,5.6,4.7
Inception,20,20,60,You Decide,Neutral,2,2948,7.2,8.4,5
Magnolia,13,10,77,You Decide,Neutral,2,3697,7.9,6.9,4.9
Major Payne,30,20,50,You Decide,Neutral,2,3708,6,5.5,3.8
My Girl,47,17,37,Go and Watch,Positive,1,1407,8.1,8.1,5
My Girl 2,40,33,27,Go and Watch,Positive,1,1349,8,6.8,4.9
Open Season: Scared Silly,0,3,0,Do not Watch,Negative,0,13398,8.2,8.2,5
Pineapple Express,20,23,57,You Decide,Neutral,2,1101,8.6,5.9,4.8
Planet 51,27,17,57,You Decide,Neutral,2,2240,7.3,7.3,4.9
Poms,17,3,80,You Decide,Neutral,2,34212,7.5,8.2,5
Seabiscuit,47,17,37,Go and Watch,Positive,1,1481,6.5,6.3,4.3
Space Cowboys,37,27,37,Go and Watch,Positive,1,1423,8.5,6.8,5
Team America: World Police,40,17,43,You Decide,Neutral,2,2811,6.6,8,4.9
The Edge of Seventeen,47,23,30,Go and Watch,Positive,1,1614,6.9,6.4,4.4
The Haunting in Connecticut 2: Ghosts of Georgia,0,0,0,Go and Watch,Positive,1,1502,6.7,7.6,4.8
The Last Boy Scout,33,20,47,You Decide,Neutral,2,2928,6.6,7.4,4.7
The Lincoln Lawyer,20,17,63,You Decide,Neutral,2,35732,8.1,6.4,4.8
The Losers,27,67,7,You Decide,Neutral,2,1552,7.4,6.4,4.6
The Machinist,60,13,27,Go and Watch,Positive,1,1493,8.2,7,5
The Net,27,13,60,You Decide,Neutral,2,4509,8,7.9,5
The Original Kings of Comedy,33,0,0,Go and Watch,Positive,1,7065,7.9,8.1,5
Valentine's Day,43,20,37,Go and Watch,Positive,1,2369,6.5,8.1,4.9
Charmed,53,23,23,Go and Watch,Positive,1,1325,6.8,8.5,5
The Lost Café,53,43,3,Go and Watch,Positive,1,1275,6.4,8.1,4.8
The Vault,27,17,57,You Decide,Neutral,2,18758,6.8,7.1,4.6
Centaurworld,40,17,43,You Decide,Neutral,2,3162,8,7.6,5
Eyes of a Thief,33,47,20,Do not Watch,Negative,0,4548,7.3,6.8,4.7
Glow Up,23,17,60,You Decide,Neutral,2,1674,6.6,7.2,4.6
I'm Glad I Did,80,17,3,Go and Watch,Positive,1,3866,8.3,6.8,5
Khawatir,7,10,83,You Decide,Neutral,2,1350,8.1,6.9,5
Myth & Mogul: John DeLorean,0,0,0,Go and Watch,Positive,1,1251,7.3,7.2,4.8
Outer Banks,30,13,57,You Decide,Neutral,2,2575,7,6.7,4.6
Pomegranates and Myrrh,7,0,0,Go and Watch,Positive,1,1313,6.9,7.4,4.8
Rurouni Kenshin: The Beginning,17,10,33,You Decide,Neutral,2,8138,7.9,6.9,4.9
The Last Mercenary,20,57,23,Do not Watch,Negative,0,13618,7.9,7,5
Flower Girl,53,3,43,Go and Watch,Positive,1,2681,5.7,8,4.6
Resort to Love,70,20,10,Go and Watch,Positive,1,3658,8.1,7.9,5
Transformers: War for Cybertron: Kingdom,0,63,3,Do not Watch,Negative,0,2683,8.4,5.9,4.8
Bartkowiak,7,13,80,You Decide,Neutral,2,23565,8.4,5.7,4.7
Fantastic Fungi,83,7,10,Go and Watch,Positive,1,19857,8.7,5.8,4.8
Tattoo Redo,40,10,27,Go and Watch,Positive,1,10061,6.7,8.4,5
The Flash,43,33,23,Go and Watch,Positive,1,2902,8.4,7.1,5
The Snitch Cartel: Origins,0,0,0,Go and Watch,Positive,1,1003,8.1,7.3,5
All American,30,33,37,You Decide,Neutral,2,1587,6.2,7.3,4.5
Department,40,30,30,Go and Watch,Positive,1,5324,6.1,7.5,4.5
Hostage House,17,53,30,Do not Watch,Negative,0,31286,7.3,7.7,5
How to Sell Drugs Online (Fast),20,13,67,You Decide,Neutral,2,4602,7.7,8,5
Mighty Express,33,27,40,You Decide,Neutral,2,2219,8.2,7.5,5
Mimi,10,10,80,You Decide,Neutral,2,4445,6.8,7.7,4.8
Plastic Cup Boyz: Laughing My Mask Off!,3,0,0,Go and Watch,Positive,1,3856,6.8,7.8,4.9
The Operative,47,23,30,Go and Watch,Positive,1,1926,8.3,6,4.8
The Walking Dead,7,77,17,Do not Watch,Negative,0,1628,6.8,8.1,5
Wynonna Earp,27,13,60,You Decide,Neutral,2,1277,4.6,8,4.2
Django Unchained,40,7,53,Do not Watch,Negative,0,23227,7.5,8,5
A Second Chance:  Rivals!,7,7,0,Go and Watch,Positive,1,4347,7.5,7.6,5
African America,23,30,47,You Decide,Neutral,2,18587,7,8.1,5
Bankrolled,50,20,30,Go and Watch,Positive,1,2362,7.3,7.2,4.8
Blood Red Sky,30,23,47,You Decide,Neutral,2,10587,7.6,7.5,5
Feels Like Ishq,30,3,0,Go and Watch,Positive,1,3290,8.5,7.3,5
Kingdom: Ashin of the North,23,10,63,You Decide,Neutral,2,4774,6.5,7.2,4.6
Masters of the Universe: Revelation,7,7,87,You Decide,Neutral,2,2340,6.8,7.7,4.8
Revelations: The Masters of the Universe: Revelation Aftershow,0,0,0,Go and Watch,Positive,1,3993,8.5,8.9,5
Sky Rojo,10,30,60,You Decide,Neutral,2,2300,5.6,7.2,4.3
The Last Letter From Your Lover,87,7,7,Go and Watch,Positive,1,2886,7.7,8.5,5
The Movies That Made Us,50,30,20,Go and Watch,Positive,1,2570,6.4,5.5,4
9to5: The Story of a Movement,20,0,3,You Decide,Neutral,2,2074,7.4,5.9,4.4
Chhota Bheem - Dinosaur World,0,0,0,Go and Watch,Positive,1,5589,7.5,7.2,4.9
Chhota Bheem - Neeli Pahaadi,0,0,0,Go and Watch,Positive,1,3733,6.6,7.9,4.8
Chhota Bheem & Ganesh,0,0,0,Go and Watch,Positive,1,20315,8,6.8,4.9
Chhota Bheem & Krishna: Mayanagari,0,0,0,Go and Watch,Positive,1,1325,7.4,6.6,4.7
Chhota Bheem & Krishna: Pataliputra- City of the Dead,0,0,0,Go and Watch,Positive,1,10588,7.4,6.5,4.6
Chhota Bheem And The Broken Amulet,0,0,0,Go and Watch,Positive,1,7596,7.8,8.3,5
Chhota Bheem And The Crown of Valhalla,0,0,0,Go and Watch,Positive,1,4265,7.9,9.3,5
Chhota Bheem and the Incan Adventure,0,0,0,Go and Watch,Positive,1,11371,6.5,8,4.8
Chhota Bheem and The ShiNobi Secret,0,0,0,Go and Watch,Positive,1,9722,8.6,7.6,5
Chhota Bheem Aur Hanuman,0,0,0,Go and Watch,Positive,1,2969,8.7,7.2,5
Chhota Bheem aur Krishna,0,0,3,You Decide,Neutral,2,1218,7.1,5.2,4.1
Chhota Bheem aur Krishna vs Zimbara,0,0,0,Go and Watch,Positive,1,1559,7.6,7.8,5
Chhota Bheem in African Safari,0,0,0,Go and Watch,Positive,1,1858,8,8.1,5
Chhota Bheem Ka Roosi Romanch,0,0,0,Go and Watch,Positive,1,1256,7.5,7,4.8
Chhota Bheem: Bheem vs Aliens,0,0,0,Go and Watch,Positive,1,2690,6.5,6.8,4.4
Chhota Bheem: Dholakpur to Kathmandu,0,0,0,Go and Watch,Positive,1,1536,7.3,6.5,4.6
Chhota Bheem: Dus Pe Dus,0,0,0,Go and Watch,Positive,1,2412,7.8,7.6,5
Chhota Bheem: Journey to Petra,0,0,0,Go and Watch,Positive,1,5139,7.4,7.8,5
Chhota Bheem: Master of Shaolin,0,0,0,Go and Watch,Positive,1,43063,8.6,8.1,5
Chhota Bheem: The Rise of Kirmada,0,0,0,Go and Watch,Positive,1,15511,8.4,7.1,5
Chicago Med,37,17,47,You Decide,Neutral,2,3526,7.4,7.8,5
Cousins,40,20,40,Go and Watch,Positive,1,1497,7.4,6.8,4.7
Wannabe Courageous,7,0,0,Go and Watch,Positive,1,47711,8.5,7.5,5
Words Bubble Up Like Soda Pop,93,7,0,Go and Watch,Positive,1,1441,6.1,6.5,4.2
Sanitation Day,43,20,37,Go and Watch,Positive,1,7573,4.7,8.1,4.3
Sexy Beasts,70,27,3,Go and Watch,Positive,1,4345,7.8,7.1,5
Too Hot to Handle: Brazil,10,0,10,Go and Watch,Positive,1,1616,6.1,8.2,4.8
Trollhunters: Rise of the Titans,0,7,17,Do not Watch,Negative,0,31486,7.9,5.9,4.6
Milkwater,3,3,7,You Decide,Neutral,2,13493,6.6,6.6,4.4
Okupas,3,33,63,You Decide,Neutral,2,9635,7.5,5.6,4.4
Touch Your Heart,37,17,47,You Decide,Neutral,2,35525,7.7,5.4,4.4
The Tambour of Retribution,3,0,13,Go and Watch,Positive,1,3740,7.2,7,4.7
Cosmic Sin,13,47,40,Do not Watch,Negative,0,18123,7.6,7.5,5
2 Weeks in Lagos,13,40,47,You Decide,Neutral,2,3946,6.6,7.8,4.8
Deep,37,20,43,You Decide,Neutral,2,4763,5.4,7.4,4.3
Explained,53,13,33,Go and Watch,Positive,1,9640,8.1,6.7,4.9
Fear Street Part 3: 1666,0,13,0,Do not Watch,Negative,0,1122,7.5,6.4,4.6
Johnny Test,10,3,87,You Decide,Neutral,2,3400,8.5,8.2,5
La ley de Herodes,10,17,73,You Decide,Neutral,2,4469,7.1,7.1,4.7
Naomi Osaka,20,23,57,You Decide,Neutral,2,2353,7.3,6.7,4.7
The Beguiled,23,13,63,You Decide,Neutral,2,2874,6.8,7.9,4.9
The Book of Henry,53,10,37,Go and Watch,Positive,1,1366,7.2,6.8,4.7
The Twilight Saga: Breaking Dawn: Part 1,13,13,73,You Decide,Neutral,2,2310,7.4,6.6,4.7
The Twilight Saga: Breaking Dawn: Part 2,3,17,80,You Decide,Neutral,2,16139,7.9,6,4.6
The Twilight Saga: Eclipse,20,17,63,You Decide,Neutral,2,10127,7.8,8.9,5
The Twilight Saga: New Moon,3,20,77,You Decide,Neutral,2,19090,8.5,6.3,4.9
Twilight,30,13,57,You Decide,Neutral,2,1883,7.7,4.9,4.2
A Perfect Fit,87,7,7,Go and Watch,Positive,1,1239,7.5,7.5,5
BEASTARS,27,13,60,You Decide,Neutral,2,31453,7.4,6.1,4.5
Cheech & Chong's Still Smokin,0,0,0,Go and Watch,Positive,1,1563,6.8,6.5,4.4
Emicida: AmarElo - Live in São Paulo,0,0,0,Go and Watch,Positive,1,1767,8.4,7.8,5
Her Private Life,30,33,37,You Decide,Neutral,2,1095,6.1,6.7,4.3
Lift Like a Girl,63,20,17,Go and Watch,Positive,1,2812,7.9,8,5
My Amanda,43,20,37,Go and Watch,Positive,1,2499,8.4,7.7,5
Never Have I Ever,57,20,23,Go and Watch,Positive,1,2615,8.1,5.6,4.6
Surf's Up,13,7,80,You Decide,Neutral,2,4518,7.1,8.1,5
The Unknown Saint,40,43,17,Do not Watch,Negative,0,3511,8.4,7.7,5
This Changes Everything,33,33,33,Go and Watch,Positive,1,1146,7.7,7.7,5
A Classic Horror Story,23,57,20,Do not Watch,Negative,0,2175,6.6,8.3,5
Gunpowder Milkshake,23,17,60,You Decide,Neutral,2,1643,7.8,6.8,4.9
Heist,37,7,57,Do not Watch,Negative,0,1394,7.5,6.6,4.7
My Unorthodox Life,37,7,57,Do not Watch,Negative,0,2472,7.4,7.2,4.9
Private Network: Who Killed Manuel Buendía?,0,0,0,Go and Watch,Positive,1,4615,7,8.3,5
The Guide to the Perfect Family,73,7,7,Go and Watch,Positive,1,2854,7.8,7.3,5
American Woman,27,33,40,You Decide,Neutral,2,1210,7.3,7.7,5
Bridgerton - The Afterparty,0,7,30,Do not Watch,Negative,0,6476,7,8.9,5
Day of Destiny,33,30,37,You Decide,Neutral,2,4978,8.1,6.7,4.9
Ridley Jones,33,33,33,Go and Watch,Positive,1,4614,5.1,6.6,3.9
Born to Play,57,37,7,You Decide,Neutral,2,4141,8,7.9,5
American Ultra,23,37,40,You Decide,Neutral,2,8575,7.2,6.9,4.7
The Stand-Up,53,20,27,Go and Watch,Positive,1,8625,7.6,7.9,5
The Tour,40,17,43,You Decide,Neutral,2,10570,8.7,7,5
Atypical,20,17,63,You Decide,Neutral,2,2767,7.3,7.7,5
Biohackers,20,17,63,You Decide,Neutral,2,4106,8.6,6.6,5
Fear Street Part 2: 1978,10,10,0,Go and Watch,Positive,1,1840,8.6,6.9,5
Finding Hubby,40,23,37,Go and Watch,Positive,1,5964,8.2,6.7,5
How I Became a Superhero,7,0,3,Go and Watch,Positive,1,1401,6.5,7.5,4.7
How to Become a Tyrant,23,13,63,You Decide,Neutral,2,1064,6.7,5.9,4.2
Last Summer,73,10,17,Go and Watch,Positive,1,2658,8.3,6.5,4.9
Lee Su-geun: The Sense Coach,0,0,0,Go and Watch,Positive,1,2470,8,7.8,5
Lethal Love,73,13,13,Go and Watch,Positive,1,10893,7.2,7.1,4.8
Ratchet and Clank,40,20,40,Go and Watch,Positive,1,6176,7,7.3,4.8
The Cook of Castamar,13,13,43,You Decide,Neutral,2,1599,7.7,7,4.9
Virgin River,27,17,57,You Decide,Neutral,2,40990,8.6,8.1,5
Back to Q82,3,0,0,Go and Watch,Positive,1,7033,3.4,7.7,3.7
Elize Matsunaga: Once Upon a Crime,0,0,3,You Decide,Neutral,2,1194,7.6,8,5
Home Again,37,40,23,Do not Watch,Negative,0,21906,9,8.6,5
Midnight Sun,43,10,47,You Decide,Neutral,2,5664,6.9,7.9,4.9
RESIDENT EVIL: Infinite Darkness,0,93,7,Do not Watch,Negative,0,29341,8.1,7.6,5
Rock the Kasbah,10,3,13,Do not Watch,Negative,0,1303,7.1,7.4,4.8
Awon Boyz,17,3,10,Do not Watch,Negative,0,3030,7.6,6.9,4.8
Brick Mansions,17,20,23,You Decide,Neutral,2,3158,7.6,8.1,5
Cat People,37,27,37,Go and Watch,Positive,1,52789,6.7,7.2,4.6
Clash,7,23,70,You Decide,Neutral,2,1582,6.8,7,4.6
Dogs,47,20,33,Go and Watch,Positive,1,10091,8.1,5.4,4.5
Major Grom: Plague Doctor,13,7,23,Do not Watch,Negative,0,2462,6.4,9.6,5
Mama Drama,43,23,33,Go and Watch,Positive,1,4030,8.9,6.5,5
Tango With Me,47,30,23,Go and Watch,Positive,1,96380,8,6.9,5
The Mire,23,43,33,Do not Watch,Negative,0,2360,7.3,3.8,3.7
The War Next-door,20,43,37,Do not Watch,Negative,0,3164,6.1,5.3,3.8
Therapy,27,40,33,Do not Watch,Negative,0,1668,7.4,6.5,4.6
This Little Love Of Mine,87,7,7,Go and Watch,Positive,1,100955,8.6,6.3,5
Three Thieves,10,60,30,Do not Watch,Negative,0,3873,8.3,7.4,5
A Land Imagined,43,33,23,Go and Watch,Positive,1,1148,7,8.9,5
Ask the StoryBots,0,3,0,Do not Watch,Negative,0,2123,7.8,9,5
Between,40,47,13,Do not Watch,Negative,0,2192,7.4,8.7,5
Chelsea,40,17,43,You Decide,Neutral,2,8640,8.4,6,4.8
Code Lyoko,37,17,47,You Decide,Neutral,2,1819,7.3,6.8,4.7
Colony,37,17,47,You Decide,Neutral,2,1583,8.5,6.7,5
Cuckoo,20,10,70,You Decide,Neutral,2,2585,8.2,7.2,5
Derry Girls,40,33,27,Go and Watch,Positive,1,1341,6.8,8.3,5
Girl from Nowhere,10,37,53,You Decide,Neutral,2,1120,7.1,7.7,4.9
Good Morning Call,73,17,10,Go and Watch,Positive,1,2848,6.6,7.4,4.7
Har Kisse Ke Hisse: Kaamyaab,0,0,0,Go and Watch,Positive,1,2679,6.4,6.8,4.4
I AM A KILLER,37,57,7,You Decide,Neutral,2,10035,7.3,6.6,4.6
I Think You Should Leave with Tim Robinson,13,40,3,Do not Watch,Negative,0,5483,5.1,6.4,3.8
Kim's Convenience,30,13,57,You Decide,Neutral,2,3753,7.5,8,5
Larva,7,27,67,Go and Watch,Positive,1,1307,7.1,6.8,4.6
Marcella,7,20,73,You Decide,Neutral,2,5649,7.3,8.1,5
Midnight Diner: Tokyo Stories,17,7,43,Do not Watch,Negative,0,1284,7.8,8,5
My Little Pony: Friendship Is Magic,80,7,13,Go and Watch,Positive,1,3491,7.6,7.5,5
Orange Is the New Black,17,23,60,You Decide,Neutral,2,1527,7.3,8.3,5
Puffin Rock,57,10,33,Go and Watch,Positive,1,8416,6.8,8.6,5
Rehmataan,0,0,0,Go and Watch,Positive,1,1162,7.3,5.3,4.2
Return of the Prodigal Son,20,40,40,Do not Watch,Negative,0,22944,8.5,7.2,5
Richie Rich,73,10,17,Go and Watch,Positive,1,2236,7.8,5,4.3
Rise: Ini Kalilah,3,0,3,Go and Watch,Positive,1,1291,7.7,5.6,4.4
Scream,10,50,40,Do not Watch,Negative,0,38051,8.6,7.1,5
Shtisel,30,0,70,You Decide,Neutral,2,4654,6.8,6.2,4.3
Si Doel the Movie 2,0,0,0,Go and Watch,Positive,1,32557,8.4,7.4,5
Some Assembly Required,23,7,70,You Decide,Neutral,2,39480,7,6.9,4.6
