Web Series,Positive,Negative,Neutral,Analysis,Status,EncodedStatus,numVotes,averageRating,rotten_Tomatoes,Calculated_rating
The Day I lost My Shadow,10,7,3,Do not Watch,Negative,0,13372,7.9,7.1,5
Baggio: The Divine Ponytail,20,0,7,You Decide,Neutral,2,3209,8.5,7.3,5
Motu Patlu: Deep Sea Adventure,0,0,0,Go and Watch,Positive,1,1656,8.4,6.2,4.9
Durarara!!,40,3,57,You Decide,Neutral,2,11393,7.7,7.1,4.9
Universal Soldier: The Return,10,3,3,Do not Watch,Negative,0,2973,5.7,5.9,3.9
Safe Haven,70,7,23,Go and Watch,Positive,1,28118,7.9,6.1,4.7
Little Big Women,23,40,37,Do not Watch,Negative,0,75780,8.8,6.8,5
Nailed It! Mexico,10,3,17,Do not Watch,Negative,0,50153,8.5,8.3,5
Nocturnal Animals,27,10,63,You Decide,Neutral,2,2039,7.5,6.4,4.6
Over Christmas,33,30,37,You Decide,Neutral,2,16505,7.4,6.3,4.6
Love & Anarchy,83,3,13,Go and Watch,Positive,1,7489,7.7,8,5
Someone Has to Die,13,77,10,Do not Watch,Negative,0,1897,8.1,8.2,5
Golmaal Returns,13,0,13,Go and Watch,Positive,1,26634,8.4,5.1,4.5
Transformers: Cyberverse,40,23,37,Go and Watch,Positive,1,59256,7.8,7.2,5
(Un)Well,53,20,27,Go and Watch,Positive,1,3665,7.1,6.8,4.6
The Players,57,17,27,Go and Watch,Positive,1,1160,6.7,7.4,4.7
Vivah,17,7,77,You Decide,Neutral,2,6137,7.5,5.9,4.5
True: Rainbow Rescue,3,0,3,Go and Watch,Positive,1,8799,7.8,2.6,3.5
The Wrong Missy,17,70,13,Do not Watch,Negative,0,9010,7.1,5.1,4.1
After Life,43,33,23,Go and Watch,Positive,1,2704,6.9,7.7,4.9
Saint Seiya,0,43,57,You Decide,Neutral,2,4394,7.2,6.7,4.6
Angu Vaikuntapurathu (Malayalam),0,0,0,Go and Watch,Positive,1,3330,8.2,6.5,4.9
Jada,23,30,47,You Decide,Neutral,2,41596,6.7,7.4,4.7
Until Dawn,27,33,40,You Decide,Neutral,2,2579,7.6,7.9,5
Isoken,7,0,93,You Decide,Neutral,2,11627,7.6,6.1,4.6
Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,0,0,0,Go and Watch,Positive,1,46900,7.7,5.6,4.4
Maid-Sama!,33,17,50,You Decide,Neutral,2,24077,5.2,5.7,3.6
Rhythm + Flow,33,37,30,Do not Watch,Negative,0,1775,7.1,8.2,5
Moving Art,53,13,33,Go and Watch,Positive,1,4978,6.3,4.8,3.7
My First First Love,73,13,13,Go and Watch,Positive,1,1832,7.4,8.1,5
Pihu,10,0,90,You Decide,Neutral,2,1276,7,8,5
The Society,40,37,23,Go and Watch,Positive,1,1346,7.4,6.2,4.5
Quicksand,20,33,47,You Decide,Neutral,2,7345,8.1,8.1,5
That Thing Called Tadhana,20,3,33,You Decide,Neutral,2,2488,5.9,8.2,4.7
LEGO Marvel Super Heroes: Guardians of the Galaxy,0,0,0,Go and Watch,Positive,1,2663,5.7,7.3,4.3
Sam Kinison: The Scream Continues,0,0,0,Go and Watch,Positive,1,2265,6.4,8.3,4.9
Haunted House,30,63,7,You Decide,Neutral,2,44939,8.3,5.2,4.5
Hattrick,27,13,60,You Decide,Neutral,2,1806,7.7,6.3,4.7
Eric ldle's What About Dick?,0,0,0,Go and Watch,Positive,1,43477,7.9,7.2,5
Super Monsters Monster Party,0,0,0,Go and Watch,Positive,1,11240,7.5,8.1,5
Invisible,40,10,50,You Decide,Neutral,2,63778,7.1,7.5,4.9
Bad Genius,27,70,3,Do not Watch,Negative,0,1607,7.5,7.2,4.9
Todo lo que sería Lucas Lauriente,0,0,0,Go and Watch,Positive,1,1904,7.9,6.8,4.9
Love Per Square Foot,17,0,0,Go and Watch,Positive,1,6318,6.9,4.7,3.9
DreamWorks Home: For the Holidays,0,0,0,Go and Watch,Positive,1,30573,7.6,8.3,5
Generation Iron 2,3,3,0,Go and Watch,Positive,1,2826,6.8,8,4.9
LEGO Marvel Super Heroes: Avengers Reassembled!,0,0,0,Go and Watch,Positive,1,2858,6.7,8.5,5
Shimmer Lake,17,0,7,You Decide,Neutral,2,2703,6.6,7.4,4.7
Win It All,57,37,7,You Decide,Neutral,2,2268,7.8,7.5,5
We're Lalaloopsy,0,0,0,Go and Watch,Positive,1,3832,6.1,7.5,4.5
They Are Everywhere,33,47,20,Do not Watch,Negative,0,1622,6.4,5.2,3.9
The Fundamentals of Caring,83,10,7,Go and Watch,Positive,1,14109,7.8,7.8,5
Breaking Bad,13,83,3,Do not Watch,Negative,0,2571,7.5,6.8,4.8
A Haunting at Silver Falls: The Return,0,0,0,Go and Watch,Positive,1,1511,7.2,7.9,5
American Experience: The Island Murder,0,0,0,Go and Watch,Positive,1,7298,7.3,7.4,4.9
Barbie: Princess Charm School,93,3,3,Go and Watch,Positive,1,1348,6.9,6.8,4.6
Blue Mountain State: The Rise of Thadland,0,0,0,Go and Watch,Positive,1,1281,6.6,7,4.5
Chal Mere Bhai,30,10,60,You Decide,Neutral,2,1538,6.5,8.2,4.9
Crash,13,73,13,Do not Watch,Negative,0,9968,8,6,4.7
Dr. Seuss' The Grinch,33,3,23,Go and Watch,Positive,1,3229,5.8,7.1,4.3
Farce,10,70,20,Do not Watch,Negative,0,1806,7.7,5.8,4.5
Get Santa,57,20,23,Go and Watch,Positive,1,1539,8.1,5.8,4.6
Have You Seen the Listers?,0,0,0,Go and Watch,Positive,1,6455,6.8,6.8,4.5
I Am Not Madame Bovary,0,3,0,Do not Watch,Negative,0,5226,7.8,5.8,4.5
Jonathan Strange & Mr Norrell,37,60,3,Do not Watch,Negative,0,2651,7.2,6.6,4.6
Kung Fu Magoo,0,0,0,Go and Watch,Positive,1,1521,8.7,6.5,5
Los tiempos de Pablo Escobar,3,30,67,You Decide,Neutral,2,1484,7.9,6.9,4.9
Memoir of a Murderer,7,83,10,Do not Watch,Negative,0,1585,7,6.8,4.6
My Life My Story,30,10,60,You Decide,Neutral,2,2224,6.6,7.1,4.6
OCTB,3,3,93,You Decide,Neutral,2,14782,7.5,7.4,5
Pick of the Litter,50,17,33,Go and Watch,Positive,1,2348,7.9,7.2,5
Rebelde,3,17,80,You Decide,Neutral,2,3536,7.2,5.5,4.2
Sat Sri Akal,30,0,70,You Decide,Neutral,2,1898,8.7,6.8,5
Slobby's World,0,0,0,Go and Watch,Positive,1,1685,7.2,7.3,4.8
Swiss Army Man,37,13,50,You Decide,Neutral,2,1207,3.9,6.3,3.4
The Cell,50,27,23,Go and Watch,Positive,1,34278,6.7,7.6,4.8
The Heat: A Kitchen (R)evolution,0,0,0,Go and Watch,Positive,1,2092,6.6,8,4.9
The NSU-Complex,0,0,0,Go and Watch,Positive,1,5863,7.8,6.1,4.6
The Tuxedo,43,20,37,Go and Watch,Positive,1,26412,7.2,6,4.4
Tunisian Victory,100,0,0,Go and Watch,Positive,1,2620,6.6,8.8,5
Wild Alaska,37,23,40,You Decide,Neutral,2,2675,5.8,6.8,4.2
Jailbirds New Orleans,0,0,13,You Decide,Neutral,2,13757,8.1,6,4.7
Sankofa,60,10,30,Go and Watch,Positive,1,2548,7.3,8.9,5
The Starling,47,10,43,Go and Watch,Positive,1,2043,8.5,7.7,5
Minsara Kanavu,10,0,30,You Decide,Neutral,2,4097,5.8,5.8,3.9
Birth of the Dragon,43,37,20,Go and Watch,Positive,1,1804,8.3,6.1,4.8
Safe House,73,13,13,Go and Watch,Positive,1,1160,6.3,8.7,5
King of Boys,30,27,43,You Decide,Neutral,2,1766,6.8,7,4.6
Little Singham - Black Shadow,0,0,0,Go and Watch,Positive,1,1448,5.8,8,4.6
Tughlaq Durbar (Telugu),0,0,0,Go and Watch,Positive,1,30480,6.8,6.3,4.4
Tayo the Little Bus,13,7,27,Do not Watch,Negative,0,14424,8.5,8.5,5
Dive Club,50,10,40,Go and Watch,Positive,1,9617,8.6,8.4,5
Money Heist: From Tokyo to Berlin,0,0,3,You Decide,Neutral,2,130296,8.2,7.8,5
Chappie,43,27,30,Go and Watch,Positive,1,18351,6.5,7.5,4.7
Cold Mountain,57,17,27,Go and Watch,Positive,1,23125,8,8.4,5
Freedom Writers,73,13,13,Go and Watch,Positive,1,35753,6.6,8.5,5
Kuroko's Basketball,23,23,53,You Decide,Neutral,2,28452,6.3,8.7,5
Marshall,43,13,43,Go and Watch,Positive,1,32695,7.2,7.9,5
Oldsters,23,33,43,You Decide,Neutral,2,6551,8.1,7.5,5
The Blue Lagoon,37,13,50,You Decide,Neutral,2,17939,6.8,8.2,5
Baggio: The Divine Ponytail,30,15,15,Go and Watch,Positive,1,45460,7.3,6.3,4.5
Gatao - The Last Stray,20,15,15,Go and Watch,Positive,1,9084,7.5,8.5,5
High on the Hog: How African American Cuisine Transformed America,20,15,3,You Decide,Neutral,2,2582,7.2,8.4,5
JoJo's Bizarre Adventure,20,33,47,You Decide,Neutral,2,23811,7.7,7.8,5
Nail Bomber: Manhunt,20,15,7,You Decide,Neutral,2,13775,7,7.5,4.8
A Place in the Stars,70,17,13,Go and Watch,Positive,1,88631,8.7,8.4,5
Home,40,20,40,Go and Watch,Positive,1,1972,5.7,8.5,4.7
Mad for Each Other,23,73,3,Do not Watch,Negative,0,7821,7.7,8.7,5
Master of None,30,20,50,You Decide,Neutral,2,1102,7.4,7.9,5
Sam Smith: Love Goes - Live at Abbey Road Studios,10,15,15,Go and Watch,Positive,1,1082,5.6,7.5,4.4
99 Songs,70,10,20,Go and Watch,Positive,1,1835,7.4,8.2,5
99 Songs (Tamil),3,3,15,Go and Watch,Positive,1,15700,6.1,8.9,5
99 Songs (Telugu),3,15,15,Go and Watch,Positive,1,4524,7.4,6.3,4.6
Army of the Dead,13,73,13,Do not Watch,Negative,0,7648,8.1,4.9,4.3
Creating an Army of the Dead,20,15,15,Go and Watch,Positive,1,1037,7.8,7.5,5
Jurassic World Camp Cretaceous,17,17,67,You Decide,Neutral,2,83392,8.4,6.1,4.8
Strain,50,37,13,Go and Watch,Positive,1,2262,6.8,6.5,4.4
The Neighbor,27,40,33,Do not Watch,Negative,0,1674,7.8,7.8,5
678,3,7,90,You Decide,Neutral,2,2091,6.8,6.7,4.5
Asmaa,20,15,100,You Decide,Neutral,2,1929,5.7,8,4.6
Hating Peter Tatchell,20,20,15,Do not Watch,Negative,0,1368,6.6,7.7,4.8
Little Singham Future mein Satakli,20,15,15,Go and Watch,Positive,1,1040,7.1,5.6,4.2
Special,53,7,40,Do not Watch,Negative,0,5426,7.3,8.1,5
Spy Kids: All the Time in the World,3,15,10,Go and Watch,Positive,1,1239,7.1,7.7,4.9
Taxi No. 9211,3,17,15,Go and Watch,Positive,1,1310,7.4,7.7,5
Sabotage,23,60,17,Do not Watch,Negative,0,1200,5.3,8.3,4.5
Small Town Crime,23,57,20,Do not Watch,Negative,0,10954,8.6,6.8,5
The Last Days,40,20,40,Go and Watch,Positive,1,1646,7.9,6.6,4.8
The Magic School Bus,33,20,47,You Decide,Neutral,2,2694,7.2,7.2,4.8
Who Killed Sara?,7,93,15,Do not Watch,Negative,0,3695,6.4,8.3,4.9
Amy Tan: Unintended Memoir,3,15,15,Go and Watch,Positive,1,1324,7.8,7.3,5
Sardar Ka Grandson,20,15,15,Go and Watch,Positive,1,3994,3.7,7.7,3.8
Sleight,53,27,20,Go and Watch,Positive,1,1203,7.6,8.9,5
Ahaan,33,17,50,You Decide,Neutral,2,1871,4.2,6.7,3.6
Booba: Food Puzzle,20,15,15,Go and Watch,Positive,1,1514,8.8,6.6,5
Love or Money,73,20,7,Go and Watch,Positive,1,68206,8.7,7.9,5
Alma Matters,80,3,13,Go and Watch,Positive,1,2692,6.9,6.9,4.6
Cinema Bandi,17,3,50,You Decide,Neutral,2,330574,8.7,7.9,5
Ferry,23,10,67,You Decide,Neutral,2,1040,7.4,7,4.8
Halston,17,15,83,You Decide,Neutral,2,1200,7.9,7.7,5
Haunted,20,57,23,Do not Watch,Negative,0,2366,7.9,6.6,4.8
I Am All Girls,67,27,7,You Decide,Neutral,2,1071,6,6.9,4.3
Jungle Beat: The Movie,3,15,15,Go and Watch,Positive,1,3500,8.7,6.7,5
"Love, Death & Robots",70,23,7,Go and Watch,Positive,1,5957,7.5,7.5,5
Move to Heaven,80,10,10,Go and Watch,Positive,1,1116,8.4,5.9,4.8
Table Manners,70,20,10,Go and Watch,Positive,1,1133,7.6,6.5,4.7
The Mystic River,33,20,47,You Decide,Neutral,2,3104,7.4,7.8,5
The Strange House,20,63,17,Do not Watch,Negative,0,1295,6.5,7.1,4.5
The Upshaws - The Afterparty,20,15,15,Go and Watch,Positive,1,2505,9,7.3,5
The Woman in the Window,17,23,60,You Decide,Neutral,2,6506,2.6,7,3.2
Castlevania,37,23,40,You Decide,Neutral,2,3892,6.2,8.1,4.8
Layer Cake,60,7,33,Do not Watch,Negative,0,3015,8.7,7.7,5
Tottaa Pataaka Item Maal,20,15,15,Go and Watch,Positive,1,1697,6.6,8,4.9
Wave of Cinema: Filosofi Kopi,20,15,15,Go and Watch,Positive,1,1121,6.5,8.6,5
Dance of the Forty One,20,15,3,You Decide,Neutral,2,1181,7.5,7.9,5
Oxygen,47,10,43,Go and Watch,Positive,1,1635,7.4,7.6,5
The Upshaws,70,10,20,Go and Watch,Positive,1,1342,5.9,7.4,4.4
Use For My Talent,67,7,27,Do not Watch,Negative,0,1147,7.1,6.9,4.7
Dear Affy,13,15,15,Go and Watch,Positive,1,16253,7.5,8.1,5
Illegal Woman,7,63,30,Go and Watch,Positive,1,1165,5,7.2,4.1
"Money, Explained",40,33,27,Go and Watch,Positive,1,22544,7.8,7,4.9
Deadly Switch,37,23,40,You Decide,Neutral,2,5056,6.8,5.4,4.1
Mine,30,13,57,You Decide,Neutral,2,3932,8.4,9.6,5
Nayattu,27,15,57,You Decide,Neutral,2,1306,7.5,6.5,4.7
Sleepless,43,20,37,Go and Watch,Positive,1,1181,7.6,6.9,4.8
Super Me,67,10,23,Go and Watch,Positive,1,3270,6.8,3.8,3.5
Have You Ever Seen Fireflies? - Theatre Play,20,15,15,Go and Watch,Positive,1,1345,4.4,5.3,3.2
In Our Mothers' Gardens,7,15,17,Go and Watch,Positive,1,2612,7.1,6.5,4.5
Jupiter's Legacy,53,10,37,Go and Watch,Positive,1,2678,6.4,6.3,4.2
Milestone,53,13,33,Go and Watch,Positive,1,3078,7.1,7.4,4.8
Monster,17,27,57,You Decide,Neutral,2,18580,8.5,8.9,5
Sab Jholmaal Hai,20,15,15,Go and Watch,Positive,1,1477,7.6,9,5
The Circle - The Afterparty,3,15,15,Go and Watch,Positive,1,1250,7.5,8.7,5
Time to Dance,70,23,7,Go and Watch,Positive,1,1363,6.5,6,4.2
Unrest,37,33,30,Go and Watch,Positive,1,6499,8.1,6.8,5
And Tomorrow the Entire World,57,33,10,Go and Watch,Positive,1,2246,8.5,6.7,5
Dead Man Down,20,70,10,Do not Watch,Negative,0,1052,6.5,7.2,4.6
Framing John DeLorean,20,15,15,Go and Watch,Positive,1,20381,7.1,8.3,5
Lava Ka Dhaava,20,15,15,Go and Watch,Positive,1,7917,7.8,7.7,5
The Sons of Sam: A Descent into Darkness,20,27,15,Do not Watch,Negative,0,2460,8.3,7.4,5
Selena: The Series,53,20,27,Go and Watch,Positive,1,10817,8.4,6.8,5
StartUp,37,10,53,You Decide,Neutral,2,1770,7.5,6.6,4.7
The Clovehitch Killer,17,80,3,Do not Watch,Negative,0,1902,8,6.4,4.8
Trash Truck,27,20,53,You Decide,Neutral,2,30632,7.9,8,5
Aliens Stole My Body,20,15,15,Go and Watch,Positive,1,13682,7.2,6.8,4.7
Angelina Ballerina,30,17,53,You Decide,Neutral,2,3691,6.7,8.1,4.9
Au coeur des gangs,20,15,15,Go and Watch,Positive,1,1630,8.5,8,5
Barney and Friends,73,7,20,Go and Watch,Positive,1,1584,8.9,7.5,5
Best of the Best,93,3,3,Go and Watch,Positive,1,10408,6.8,8.3,5
Dead Again in Tombstone,20,15,15,Go and Watch,Positive,1,4240,4.1,8.6,4.2
Due Date,63,23,13,Go and Watch,Positive,1,2638,9.1,5.3,4.8
Fun with Dick & Jane,27,20,53,You Decide,Neutral,2,1798,9,7.2,5
Green Zone,27,37,37,Do not Watch,Negative,0,2840,7.5,5,4.2
Hachi: A Dog's Tale,23,27,50,You Decide,Neutral,2,19979,7.4,5.6,4.3
JT LeRoy,40,3,3,Go and Watch,Positive,1,2161,8.7,7.1,5
Madagascar 3: Europe's Most Wanted,10,15,37,You Decide,Neutral,2,1281,7.2,6.2,4.5
Miniforce: Super Dino Power,3,15,15,Go and Watch,Positive,1,1012,7,7.4,4.8
Motu Patlu in Dragon's World,20,15,15,Go and Watch,Positive,1,1403,8.5,6.9,5
Motu Patlu in the Game of Zones,20,15,15,Go and Watch,Positive,1,3745,6.8,5.9,4.2
Motu Patlu in Wonderland,13,15,15,Go and Watch,Positive,1,2229,8.1,8.5,5
Motu Patlu: Deep Sea Adventure,20,15,15,Go and Watch,Positive,1,1072,8.3,5.7,4.7
Motu Patlu: Mission Moon,20,15,15,Go and Watch,Positive,1,15554,7.4,6.7,4.7
Mystic River,7,7,87,You Decide,Neutral,2,1209,6.2,7.1,4.4
Never Back Down,27,47,27,Do not Watch,Negative,0,1328,7.1,7.4,4.8
S.M.A.R.T Chase,7,15,10,Go and Watch,Positive,1,3886,7.8,6.5,4.8
Sitting in Limbo,47,27,27,Go and Watch,Positive,1,4027,8,6.8,4.9
Stargate,40,10,50,You Decide,Neutral,2,9549,6.6,5.5,4
State of Play,50,33,17,Go and Watch,Positive,1,23701,6.8,6.7,4.5
Swiped,37,33,30,Go and Watch,Positive,1,1403,8.1,5.8,4.6
The Darkest Hour,23,63,13,Do not Watch,Negative,0,1659,7.8,6.1,4.6
The Lovely Bones,70,13,17,Go and Watch,Positive,1,1102,6.7,5.3,4
The Sweetest Thing,53,13,33,Go and Watch,Positive,1,299836,9.2,7,5
The Whole Nine Yards,53,27,20,Go and Watch,Positive,1,18377,7.1,7.4,4.8
The Whole Truth,60,33,7,You Decide,Neutral,2,1056,7.9,7.4,5
The Yeti Adventures,7,15,15,Go and Watch,Positive,1,6952,3.7,8.5,4.1
Under Siege,37,37,27,Go and Watch,Positive,1,1881,8.6,7.1,5
Zack and Miri Make a Porno,23,10,67,You Decide,Neutral,2,1106,7.2,8.4,5
Pet Stars,43,13,43,Go and Watch,Positive,1,2150,4.7,7.8,4.2
Seven,30,3,67,You Decide,Neutral,2,1040,6.5,6.4,4.3
The Disciple,33,27,40,You Decide,Neutral,2,1128,6,7.7,4.6
The Innocent,43,50,7,You Decide,Neutral,2,2059,7.6,6.4,4.7
The Mitchells vs. The Machines,20,20,60,You Decide,Neutral,2,1122,6.2,5.8,4
The Strangers: Prey at Night,30,23,47,You Decide,Neutral,2,5092,4.4,7.5,4
The Unremarkable Juanquini,20,15,15,Go and Watch,Positive,1,1109,5.3,6,3.8
Things Heard & Seen,47,20,33,Go and Watch,Positive,1,2283,8.1,8.1,5
Yasuke,10,10,80,You Decide,Neutral,2,10071,7.1,8,5
Get the Grift,47,27,27,Go and Watch,Positive,1,1350,7,8.5,5
Headspace Guide to Sleep,7,15,3,Go and Watch,Positive,1,24246,8.1,8.9,5
Sexify,33,7,60,Do not Watch,Negative,0,4057,7,7,4.7
August: Osage County,40,17,43,You Decide,Neutral,2,2381,7.3,7.2,4.8
Battle: Los Angeles,23,57,20,Do not Watch,Negative,0,4747,6.8,7.8,4.9
Between Worlds,40,27,33,Go and Watch,Positive,1,1160,6.6,7.2,4.6
Fatma,20,3,97,You Decide,Neutral,2,212610,8.4,7.5,5
One,53,27,20,Go and Watch,Positive,1,2188,6.4,7.6,4.7
Ram Prasad Ki Tehrvi,20,15,15,Go and Watch,Positive,1,20660,6.6,5.8,4.1
Shadow and Bone - The Afterparty,20,15,15,Go and Watch,Positive,1,1223,6.6,5.4,4
Among Family,47,23,30,Go and Watch,Positive,1,1476,7,5.5,4.2
Dedemin Fisi,20,15,3,You Decide,Neutral,2,1148,6,5.7,3.9
Deliha,13,15,87,You Decide,Neutral,2,4600,6.5,5.1,3.9
Düğün Dernek,7,15,93,You Decide,Neutral,2,2568,5.1,6.6,3.9
Dügün Dernek 2: Sünnet,20,15,15,Go and Watch,Positive,1,1124,7,6.5,4.5
G.O.R.A,7,15,93,You Decide,Neutral,2,1092,8,6.2,4.7
Hayat Öpücügü,7,15,93,You Decide,Neutral,2,1047,7.9,7.4,5
Heroes: Silence and Rock & Roll,20,15,15,Go and Watch,Positive,1,2554,9.2,7.3,5
Kara Bela,13,15,87,You Decide,Neutral,2,50809,7.2,7,4.7
Kocan Kadar Konus,7,15,7,Go and Watch,Positive,1,12848,8.9,6,5
Kocan Kadar Konus 2: Dirilis,20,15,15,Go and Watch,Positive,1,1001,8.8,7.6,5
Legal Hash,60,3,37,Go and Watch,Positive,1,4309,6.9,7.4,4.8
Let's Fight Ghost,17,77,7,Do not Watch,Negative,0,75227,7.1,6.6,4.6
My Travel Buddy,60,10,30,Go and Watch,Positive,1,1497,7,6.1,4.4
Niyazi Gül Dörtnala,20,15,15,Go and Watch,Positive,1,1505,7.7,8.3,5
One Like It,47,37,17,Go and Watch,Positive,1,4449,8,7.3,5
Perfume Imaginary Museum “Time Warp”,7,15,3,Go and Watch,Positive,1,1313,7.4,5.3,4.2
Shadow and Bone,27,13,60,You Decide,Neutral,2,1823,8,7.7,5
This Lady Called Life,43,37,20,Go and Watch,Positive,1,1838,7.9,6.9,4.9
Vizontele,7,15,93,You Decide,Neutral,2,1032,8.2,6.4,4.9
HOMUNCULUS,17,20,63,You Decide,Neutral,2,1505,8,6.2,4.7
Life in Color with David Attenborough,20,15,15,Go and Watch,Positive,1,4113,8.1,5.5,4.5
Searching For Sheela,20,15,3,You Decide,Neutral,2,106383,7.1,6.9,4.7
Stowaway,40,17,43,You Decide,Neutral,2,1170,7.8,6.8,4.9
Wild Dog,43,17,40,Go and Watch,Positive,1,1338,8,6.5,4.8
Oloibiri,7,3,37,Go and Watch,Positive,1,1166,7.3,5.4,4.2
Tell Me When,57,30,13,Go and Watch,Positive,1,6082,8.2,6.4,4.9
Zero,20,17,63,You Decide,Neutral,2,1184,7,7.6,4.9
Izzy's Koala World,20,15,15,Go and Watch,Positive,1,3184,7.2,7.8,5
Keymon and Nani in Space Adventure,20,15,15,Go and Watch,Positive,1,14473,8.2,6.6,4.9
Motu Patlu Dino Invasion,20,15,15,Go and Watch,Positive,1,1904,7.7,7.2,5
Motu Patlu in Octupus World,20,15,15,Go and Watch,Positive,1,1797,6.8,6.9,4.6
Motu Patlu VS Robo Kids,20,15,15,Go and Watch,Positive,1,9173,8.5,6.2,4.9
Rudra: Secret of the Black Moon,20,15,15,Go and Watch,Positive,1,64366,7.9,6.2,4.7
Rudra: The Rise of King Pharaoh,20,15,15,Go and Watch,Positive,1,1233,6.2,7.8,4.7
Free to Play,70,7,23,Go and Watch,Positive,1,1307,7.1,7.5,4.9
Luis Miguel - The Series,17,15,37,You Decide,Neutral,2,1356,7.3,8.1,5
Miss Sloane,43,57,15,Do not Watch,Negative,0,1001,7.3,6.4,4.6
PJ Masks,47,20,33,Go and Watch,Positive,1,24449,8.3,8.3,5
American Me,47,30,23,Go and Watch,Positive,1,39980,8.5,7.7,5
Delhi Belly,47,13,40,Go and Watch,Positive,1,1176,7,6.6,4.5
Dhobi Ghat (Mumbai Diaries),20,15,15,Go and Watch,Positive,1,4690,6.8,7.3,4.7
Jaane Tu... Ya Jaane Na,23,20,57,You Decide,Neutral,2,2440,7,7.9,5
Lagaan,23,7,70,You Decide,Neutral,2,4035,8.5,6.3,4.9
Madness in the Desert,7,17,7,Go and Watch,Positive,1,3305,7.6,7.5,5
Peepli Live,13,17,33,You Decide,Neutral,2,1651,8.1,7.3,5
Taare Zameen Par,20,7,73,You Decide,Neutral,2,75469,7.3,8,5
Ajeeb Daastaans,13,3,20,Do not Watch,Negative,0,153934,8.1,4.1,4.1
Arlo the Alligator Boy,17,15,10,Go and Watch,Positive,1,7320,8.2,7.4,5
Bakugan: Geogan Rising,20,3,10,Do not Watch,Negative,0,1617,7.1,6.9,4.7
Barbie & Chelsea: The Lost Birthday,3,15,15,Go and Watch,Positive,1,1911,6.1,6.3,4.1
Crimson Peak,23,27,50,You Decide,Neutral,2,2251,6.5,7.6,4.7
Dad Stop Embarrassing Me - The Afterparty,20,15,15,Go and Watch,Positive,1,4914,6.3,8.2,4.8
Doctor Bello,10,27,63,You Decide,Neutral,2,6081,7.9,7.8,5
Four Sisters Before the Wedding,30,20,37,You Decide,Neutral,2,1149,6.8,7.2,4.7
Into the Beat,40,33,27,Go and Watch,Positive,1,2309,7.4,7.6,5
Love Naggers,23,10,15,Go and Watch,Positive,1,1137,7.6,6.4,4.7
Rush,53,27,20,Go and Watch,Positive,1,3314,7.2,6.9,4.7
Synchronic,43,10,47,You Decide,Neutral,2,2172,8,6.9,5
The Zookeeper's Wife,3,7,50,Do not Watch,Negative,0,1696,7.3,4.6,4
Time Trap,23,67,10,Do not Watch,Negative,0,12997,6.7,6.5,4.4
Tuesdays & Fridays,53,10,37,Go and Watch,Positive,1,4067,7.7,7.3,5
Dancing Angels,47,20,33,Go and Watch,Positive,1,1044,7.7,8.2,5
Dark City Beneath the Beat,20,15,15,Go and Watch,Positive,1,1897,3.9,5.7,3.2
