Web Series,Positive,Negative,Neutral,Analysis,Status,Cast,Rating,Release Year
Dick Johnson Is Dead,10,37,7,You Decide,Neutral,Kirsten Johnson,PG-13,2020
Blood & Water,23,23,53,You Decide,Neutral,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",TV-MA,2021
Ganglands,33,13,53,You Decide,Neutral,Julien Leclercq,TV-MA,2021
Jailbirds New Orleans,0,0,13,You Decide,Neutral,"September 24, 2021","Docuseries, Reality TV",1 Season
Kota Factory,23,13,63,You Decide,Neutral,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",TV-MA,2021
Midnight Mass,27,17,57,You Decide,Neutral,Mike Flanagan,TV-MA,2021
My Little Pony: A New Generation,13,7,80,You Decide,Neutral,"Robert Cullen, José Luis Ucha",PG,2021
Sankofa,60,10,30,Go and Watch,Positive,Haile Gerima,1993,"September 24, 2021"
The Great British Baking Show,93,7,0,Go and Watch,Positive,Andy Devonshire,2021,"September 24, 2021"
The Starling,50,7,43,Do not Watch,Negative,Theodore Melfi,2021,"September 24, 2021"
"Vendetta: Truth, Lies and The Mafia",0,0,0,Go and Watch,Positive,"September 24, 2021","Crime TV Shows, Docuseries, International TV Shows",1 Season
Bangkok Breaking,13,7,57,Do not Watch,Negative,Kongkiat Komesiri,TV-MA,2021
Je Suis Karl,7,10,83,You Decide,Neutral,Christian Schwochow,2021,"September 23, 2021"
Confessions of an Invisible Girl,3,0,7,You Decide,Neutral,Bruno Garotti,TV-PG,2021
Crime Stories: India Detectives,0,0,0,Go and Watch,Positive,"September 22, 2021","British TV Shows, Crime TV Shows, Docuseries",1 Season
Dear White People,83,10,7,Go and Watch,Positive,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson",TV-MA,2021
Europe's Most Dangerous Man: Otto Skorzeny in Spain,0,10,0,Do not Watch,Negative,"Pedro de Echave García, Pablo Azorín Williams",67 min,TV-MA
Falsa identidad,3,7,90,You Decide,Neutral,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho",TV-MA,2020
Intrusion,30,27,43,You Decide,Neutral,Adam Salky,TV-14,2021
Jaguar,20,23,57,You Decide,Neutral,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",1 Season,TV-MA
Monsters Inside: The 24 Faces of Billy Milligan,10,3,20,Do not Watch,Negative,Olivier Megaton,1 Season,TV-14
Resurrection: Ertugrul,17,0,83,You Decide,Neutral,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun",TV-14,2018
Avvai Shanmughi,13,10,7,You Decide,Neutral,K.S. Ravikumar,TV-PG,1996
Go! Go! Cory Carson: Chrissy Takes the Wheel,0,0,3,You Decide,Neutral,"Alex Woo, Stanley Moore",TV-Y,2021
Jeans,33,20,47,You Decide,Neutral,S. Shankar,1998,"September 21, 2021"
Love on the Spectrum,73,17,10,Go and Watch,Positive,Brooke Satchwell,TV-14,2021
Minsara Kanavu,10,0,30,You Decide,Neutral,Rajiv Menon,TV-PG,1997
Grown Ups,27,37,37,Do not Watch,Negative,Dennis Dugan,2010,"September 20, 2021"
Dark Skies,63,10,27,Go and Watch,Positive,Scott Stewart,2013,"September 19, 2021"
Paranoia,17,63,20,Do not Watch,Negative,Robert Luketic,2013,"September 19, 2021"
Ankahi Kahaniya,0,0,0,Go and Watch,Positive,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",TV-14,2021
Chicago Party Aunt,50,0,0,Go and Watch,Positive,"Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",1 Season,TV-MA
Sex Education,17,27,57,You Decide,Neutral,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",TV-MA,2020
Squid Game,17,23,60,You Decide,Neutral,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",1 Season,TV-MA
Tayo and Little Wizards,0,0,0,Go and Watch,Positive,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",1 Season,TV-Y7
The Father Who Moves Mountains,3,3,0,Go and Watch,Positive,Daniel Sandu,TV-MA,2021
The Stronghold,43,40,17,Go and Watch,Positive,Cédric Jimenez,TV-MA,2021
Angry Birds,23,73,3,Do not Watch,Negative,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",TV-Y7,2018
Birth of the Dragon,43,37,20,Go and Watch,Positive,George Nolfi,2017,"September 16, 2021"
Chhota Bheem,43,7,50,Do not Watch,Negative,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",TV-Y7,2021
He-Man and the Masters of the Universe,30,7,63,Do not Watch,Negative,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",TV-Y7,2021
Jaws,13,30,57,You Decide,Neutral,Steven Spielberg,1975,"September 16, 2021"
Jaws 2,33,13,53,You Decide,Neutral,Jeannot Szwarc,1978,"September 16, 2021"
Jaws 3,40,20,40,Go and Watch,Positive,Joe Alves,1983,"September 16, 2021"
Jaws: The Revenge,17,80,3,Do not Watch,Negative,Joseph Sargent,1987,"September 16, 2021"
My Heroes Were Cowboys,3,0,0,Go and Watch,Positive,Tyler Greco,23 min,PG
Safe House,70,17,13,Go and Watch,Positive,Daniel Espinosa,2012,"September 16, 2021"
The Smart Money Woman,73,20,7,Go and Watch,Positive,Bunmi Ajakaiye,TV-MA,2020
Training Day,60,10,30,Go and Watch,Positive,Antoine Fuqua,2001,"September 16, 2021"
Castle and Castle,53,20,27,Go and Watch,Positive,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",TV-MA,2021
Dharmakshetra,10,10,10,Go and Watch,Positive,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",TV-PG,2014
InuYasha the Movie 2: The Castle Beyond the Looking Glass,0,0,0,Go and Watch,Positive,Toshiya Shinohara,2002,"September 15, 2021"
InuYasha the Movie 3: Swords of an Honorable Ruler,0,0,0,Go and Watch,Positive,Toshiya Shinohara,2003,"September 15, 2021"
InuYasha the Movie 4: Fire on the Mystic Island,0,0,0,Go and Watch,Positive,Toshiya Shinohara,2004,"September 15, 2021"
InuYasha the Movie: Affections Touching Across Time,3,0,0,Go and Watch,Positive,Toshiya Shinohara,2001,"September 15, 2021"
Nailed It,27,3,70,You Decide,Neutral,"Nicole Byer, Jacques Torres",TV-PG,2021
Naruto Shippuden the Movie: Blood Prison,0,0,0,Go and Watch,Positive,Masahiko Murata,2011,"September 15, 2021"
Naruto Shippûden the Movie: Bonds,0,0,3,You Decide,Neutral,Hajime Kamegaki,2008,"September 15, 2021"
Naruto Shippûden the Movie: The Will of Fire,0,0,0,Go and Watch,Positive,Masahiko Murata,2009,"September 15, 2021"
Naruto Shippuden: The Movie,13,53,33,Do not Watch,Negative,Hajime Kamegaki,2007,"September 15, 2021"
